,,Year,Year,Year,Year,Year
,,1,2,3,4,5
,∆Rev/Share,0.19385386793781278,0.20885846170257283,0.2159125411651759,0.20963804506423944,0.19676513282879937
,∆NetMargin,-0.01025291765367009,-0.2761643348919125,0.010054069926912934,-0.006746923022990181,0.002386784906774242
,∆EPS,0.1836009502841427,-0.06730587318933967,0.22596661109208882,0.20289112204124926,0.1991519177355736
,,,,,,
,,,,,,
,2015,2016,2017,2018,2019,2020
Rev ($m),74989,90272,110855,136819,161857,182527
Net Income,16348,19478,12662,30736,34343,40269
#Shares(m),13858.6,13974.095,14019.295,14065.695,13971.13,13740.555
,,,,,,
Rev/S,5.411008326959433,6.459953220584231,7.9073163094149885,9.727141104652134,11.58510442605573,13.283815682845416
NetMargin,0.21800530744509194,0.2157701169797944,0.11422128005051645,0.22464716157843576,0.2121811228430034,0.22061941520980458
