,,,,,,,,300.784424583054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2027-Q2,2027-Q3,2027-Q4,2028-Q1,2028-Q2,2028-Q3,2028-Q4,,,,,,2009-FY,2010-FY,2011-FY,2012-FY,2013-FY,2014-FY,2015-FY,2016-FY,2017-FY,2018-FY,2019-FY,2020-FY,2021-FY,2022-FY,2023-FY,2024-FY,2025-FY,2026-FY,2027-FY,2028-FY,2029-FY,2030-FY,2031-FY,2032-FY,2033-FY,2034-FY,2035-FY
,,,,,,,,Period-End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00,2026-09-30 00:00:00,2026-12-31 00:00:00,2027-03-31 00:00:00,2027-06-30 00:00:00,2027-09-30 00:00:00,2027-12-31 00:00:00,2028-03-31 00:00:00,2028-06-30 00:00:00,2028-09-30 00:00:00,2028-12-31 00:00:00,,,,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00
,,,,,,,,Morgan Stanley | Google revenue by product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-12-31 00:00:00,,,,2014-12-31 00:00:00,,,,2015-12-31 00:00:00,,,,2016-12-31 00:00:00,,,,2017-12-31 00:00:00,,,,2018-12-31 00:00:00,,,,2019-12-31 00:00:00,,,,2020-12-31 00:00:00,,,,2021-12-31 00:00:00,,,,2022-12-31 00:00:00,,,,2023-12-31 00:00:00,,,,2024-12-31 00:00:00,,,,2025-12-31 00:00:00,,,,2026-12-31 00:00:00,,,,2027-12-31 00:00:00,,,,2028-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(In millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,,,,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00
,,,,,,,,Gross advertising revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11902,12061,12524,14060,13997,14498,14820,16309,15508,16023,16781,19078,18020,19143,19821,22399,21456.3131299901,22719.9801491766,24116.0235424313,27284.683178402,26831.8898007335,28121.5298318624,28989.5803674042,32518,30587,32494,33796,37934,33763,29867,37095,46199,44684,50444,53130,61239,54661,56288,54482,59042,54548,58143,59647,65517,61659,64616,65854,72461,66885,71340,74182,82284,77241.37239055,81344.4803151882,82599.4568801128,91326.6235548291,84017.9340118993,88115.81869869,91493.5989404118,100865.92946467,,,,,,,,,,22888.804,28236,36531,43686,51072,59624,67390,79383,95577,116461,134811,146924,209497,224473,237855,264590,294691,332511.93314068,364493.281115671,398661.859713614,433486.787052504,469871.976667059,511480.2694439,555101.286963687,601291.793005568,651138.458109289,705432.295885786
,,,,,,,,% change Y/Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,0.176020836834146,0.202056214244258,0.183328010220377,0.159957325746799,0.107951703936558,0.105186922334115,0.132321187584346,0.16978355509228,0.161980913077121,0.194720089870811,0.181157261188249,0.174074850613272,0.190694402330196,0.186855777525809,0.216690557612193,0.218120593705167,0.250535897671522,0.237744471923827,0.202087911234538,0.191804199718198,0.139949523762724,0.155484790275652,0.165798178920871,0.166553908604465,0.103834962565796,-0.0808456945897704,0.0976151023789798,0.217878420414404,0.323460592956787,0.688954364348612,0.432268499797816,0.325548172038356,0.223279026049593,0.115851240980097,0.0254470167513645,-0.0358758307614429,-0.00206728746272478,0.0329555144968732,0.0948019529385853,0.109667694183801,0.130362249761678,0.111328964793698,0.104062232802991,0.10598775890227,0.0847564832384566,0.104060913705584,0.126461566495581,0.135562578490498,0.154838489804141,0.14023661781873,0.113470341593821,0.109895284075022,0.0877322788503225,0.0832427517794045,0.107677972667643,0.104452628801212,,,,,,,,,,,0.233616225644643,0.293773905652359,0.195861049519586,0.169070182667216,0.167449874686717,0.130249563933986,0.177964089627541,0.203998337175466,0.218504451907886,0.157563476185161,0.0898517183315901,0.425886853066892,0.0714855105323704,0.0596151875726703,0.112400412015724,0.11376469254318,0.128340984762616,0.0961810533321823,0.0937426843462155,0.0873545499534556,0.0839360984032664,0.0885524032992582,0.085283871393933,0.0832109510942314,0.0828992939593642,0.0833829381452129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gross websites revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8640,8868,9376,10538,10469,10935,11252,12429,11932,12402,13087,14936,14328,15400,16089,17968,17441.7041574536,18465.9770787268,19766.8638221834,22286.4549416362,22153.5170652715,23289.7687468859,24082.7141878426,26925,25572,27245,28545,31902,28540,25131,31375,38788,37884,42847,45131,51934,46487,48029,46610,50567,47052,50293,51978,57220,54246,57172,58306,64507,59629,63986,66828,74456,70156.4745068526,74162.7289299093,75393.4009534496,83656.0089019261,77061.4730900989,81063.9005016869,84416.5078303821,93331.8875173385,,,,,,,,,,15722.486,19444,26145,31221,37422,45085,52357,63785,77961,96451,113264,123834,177796,191693,206543,234231,264899,303368.613292138,335873.768939506,370464.399676971,405627.88426503,442282.667519302,484103.272330502,527888.78767375,574203.704179948,624141.037518186,678497.039646488
