,,,,,,,,,,,397.101019628317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Bull Case Valuation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Google Value,,,396.985812935245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Less Other Bets Losses,,,0.115206693071591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total Bull Case Value,,,397.101019628317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Current Market Price,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,% Upside (Downside),,,0.260638157550211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Period-End Date,,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,,,,,,,,,,,
,,,,,,,,Morgan Stanley | Google DCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(USD millions),,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,TY - 2030,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Core Discounted cash flow analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Net revenue,,,,17481.163,22004,29094,39219,43261,52505,60646,73479,89183,110093,131768,149749,212071,233881,256508,295118,342910,424923.065750791,512942.367719878,607888.928833484,713844.79632108,831094.646551515,959369.671058172,1100047.54521101,1253447.91301515,1419444.13793589,1598377.8162635,1646329.15075141,,0.189164441506779,,,
,,,,,,,,% change Y/Y,,,,NA,0.258726321583981,0.322214142883112,0.348009898948237,0.103062291236391,0.213679757749474,0.155051899819065,0.211605052270554,0.213720927067598,0.234461724768173,0.196879002298057,0.136459534940198,0.416176401845755,0.10284291581593,0.096745780974085,0.150521621158014,0.161942002859873,0.239167903388035,0.207141737089669,0.185101810824599,0.174301360761614,0.164251180137057,0.154344664640679,0.146635732186188,0.139448852435483,0.132431689579694,0.126058978684296,0.03,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Adj. EBITDA,,,,11000.548,13154,15567,18379,22469,25650,29626,36563,43476,45912,56806,67780,106531,110132,120452,150486,175128,248158.318824607,309172.537548053,377941.085995047,459456.964392064,551385.454284121,647605.987710269,751539.310055645,861864.388069644,981938.308556743,1109033.08184792,1142304.07430336,,,,,
