,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,300.784424583054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2002-Q,2002-Q,2002-Q,2002-Q,2003-Q,2003-Q,2003-Q,2003-Q,2004-Q,2004-Q,2004-Q,2004-Q,2005-Q,2005-Q,2005-Q,2005-Q,2006-Q,2006-Q,2006-Q,2006-Q,2007-Q,2007-Q,2007-Q,2007-Q,2008-Q,2008-Q,2008-Q,2008-Q,2009-Q,2009-Q,2009-Q,2009-Q,2010-Q,2010-Q,2010-Q,2010-Q,2011-Q,2011-Q,2011-Q,2011-Q,2012-Q,2012-Q,2012-Q,2012-Q,2013-Q,2013-Q,2013-Q,2013-Q,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2027-Q2,2027-Q3,2027-Q4,2028-Q1,2028-Q2,2028-Q3,2028-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Period-End Date,,,,2002-03-31 00:00:00,2002-06-30 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-31 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-30 00:00:00,2006-12-31 00:00:00,2007-03-31 00:00:00,2007-06-30 00:00:00,2007-09-30 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00,2026-09-30 00:00:00,2026-12-31 00:00:00,2027-03-31 00:00:00,2027-06-30 00:00:00,2027-09-30 00:00:00,2027-12-31 00:00:00,2028-03-31 00:00:00,2028-06-30 00:00:00,2028-09-30 00:00:00,2028-12-31 00:00:00,,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-31 00:00:00,2006-12-31 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,,,,1900-12-31 00:00:00,1901-12-31 00:00:00,1902-12-31 00:00:00,1903-12-31 00:00:00,1904-12-31 00:00:00,1905-12-31 00:00:00,1906-12-31 00:00:00,1907-12-31 00:00:00,1908-12-31 00:00:00,1909-12-31 00:00:00,1910-12-31 00:00:00,1911-12-31 00:00:00,1912-12-31 00:00:00,1913-12-31 00:00:00,1914-12-31 00:00:00,1915-12-31 00:00:00,1916-12-31 00:00:00,,,,,,,,,,
,,,,,,,,Morgan Stanley | Google Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-31 00:00:00,,,,2015-12-31 00:00:00,,,,2016-12-31 00:00:00,,,,2017-12-31 00:00:00,,,,2018-12-31 00:00:00,,,,2019-12-31 00:00:00,,,,2020-12-31 00:00:00,,,,2021-12-31 00:00:00,,,,2022-12-31 00:00:00,,,,2023-12-31 00:00:00,,,,2024-12-31 00:00:00,,,,2025-12-31 00:00:00,,,,2026-12-31 00:00:00,,,,2027-12-31 00:00:00,,,,2028-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(USD millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-31 00:00:00,2006-12-31 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00,,,,,,,,,,
,,,,,,,,Alphabet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total Alphabet Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15420,15955,16523,18103,17258,17727,18675,21329,20257,21500,22451,26064,24750,26010,27772,32323,31146,32657,33740,39276,36339,38944,40499,46075,41159,38297,46173,56898,55314,61880,65118,75325,68011,69685,69092,76048,69787,74604,76693,86310,80539,84742,88268,96469,90234,96428,102346,113828,109629.15839055,117258.962315188,122695.390880113,134459.096554829,127889.617011899,136436.50169869,144759.281940412,158477.61246467,,,,,,,,,,,,,,,,,,55519,66001,74989,90272,110855,136819,161857,182527,257637,282836,307394,350018,402836,484042.60814068,567563.013115671,659990.491713614,761262.369052504,871542.983667059,990965.1001939,1119926.16215119,1258509.73262744,1406729.68077991,1564846.11482466,,,,,,,,,,
,,,,,,,,Period-to-period addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-845,469,948,2654,-1072,1243,951,3613,-1314,1260,1762,4551,-1177,1511,1083,5536,-2937,2605,1555,5576,-4916,-2862,7876,10725,-1584,6566,3238,10207,-7314,1674,-593,6956,-6261,4817,2089,9617,-5771,4203,3526,8201,-6235,6194,5918,11482,-4198.84160945006,7629.80392463824,5436.42856492462,11763.7056747163,-6569.4795429298,8546.88468679076,8322.78024172172,13718.3305242579,,,,,,,,,,,,,,,,,,,10482,8988,15283,20583,25964,25038,20670,75110,25199,24558,42624,52818,81206.60814068,83520.4049749908,92427.4785979427,101271.87733889,110280.614614555,119422.116526841,128961.061957288,138583.570476255,148219.948152472,158116.434044746,,,,,,,,,,
,,,,,,,,% change Y/Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178202507871623,0.17377448139993,0.212839171884696,0.202195448460509,0.22199821838811,0.221799871649306,0.209767441860465,0.237005033183377,0.240139656230816,0.258424242424242,0.255555555555556,0.214892697681118,0.215109983603007,0.166730880369871,0.192516152739076,0.200326022525193,0.173108259496894,0.132639863507526,-0.0166135990139688,0.14010222474629,0.234899620184482,0.343910201899949,0.61579235971486,0.410304723539731,0.323860241133256,0.229544057562281,0.126131221719457,0.0610276728400749,0.00959840690341851,0.0261134228286601,0.0705890794288584,0.110012736641,0.134941089837997,0.154068809377105,0.135890836952442,0.150926420924987,0.11770362646275,0.120376463576652,0.137900922800972,0.159491548466035,0.179943816148193,0.214942908333333,0.216026074534245,0.198829371740105,0.181247993066988,0.166565710158032,0.163548602212198,0.179826568072617,0.178630650697898,,,,,,,,,,,,,,,,,,,0.188800230551703,0.136179754852199,0.203803224472923,0.228010900389933,0.23421586757476,0.183000898997946,0.127705320128261,0.411500764270492,0.0978081564371578,0.0868277022726951,0.138662433229016,0.150900810815444,0.201587266631284,0.172547630250593,0.162849721461863,0.153444448988872,0.144865448625569,0.137023782836696,0.130136835224625,0.123743488776135,0.117774177115839,0.11240001274238,,,,,,,,,,
,,,,,,,,% change Q/Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.046677346296194,0.0271758025263646,0.0534777458114741,0.142115127175368,-0.0502602091049744,0.061361504665054,0.0442325581395349,0.160928243730792,-0.050414364640884,0.050909090909091,0.0677431757016531,0.163870084977675,-0.0364136992234632,0.0485134527708213,0.033162874728236,0.164078245406046,-0.0747784906813321,0.071686067310603,0.0399291290057517,0.137682411911405,-0.106695604991861,-0.0695352170849632,0.20565579549312,0.232278604379183,-0.0278392913634926,0.118704125537838,0.0523270846800259,0.156746214564329,-0.0970992366412213,0.0246136654364735,-0.00850972232187697,0.100677357725931,-0.0823295813170629,0.069024316849843,0.0280011795614177,0.125396059614306,-0.0668636310972077,0.0521858975154894,0.0416086474239457,0.0929102279421761,-0.0646321616270512,0.0686437484761842,0.061372215539055,0.112188067926446,-0.036887598916348,0.0695964836057332,0.0463625846381932,0.0958773234294574,-0.0488585726905499,0.0668301687540085,0.061001126077697,0.0947665002227969,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
