,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10794,8739,9312,10656,11633,10379,11203,12870,13578,12139.25,12857.14,14583.365,15164.7285,13678.45,14239.208,15800.56935,17340.235625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,300.784424583054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077728367611636,0.187664492504863,0.203071305841924,0.20777027027027,0.167196767815697,0.169597263705559,0.147651521913773,0.133128593628594,0.116860251878038,0.126795312725251,0.107494201665378,0.0834652599040069,0.143458362937391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Morgan Stanley | GOOGL Other Drivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-12-31 00:00:00,,,,2014-12-31 00:00:00,,,,2015-12-31 00:00:00,,,,2016-12-31 00:00:00,,,,2017-12-31 00:00:00,,,,2018-12-31 00:00:00,,,,2019-12-31 00:00:00,,,,2020-12-31 00:00:00,,,,2021-12-31 00:00:00,,,,2022-12-31 00:00:00,,,,2023-12-31 00:00:00,,,,2024-12-31 00:00:00,,,,2025-12-31 00:00:00,,,,2026-12-31 00:00:00,,,,2027-12-31 00:00:00,,,,2028-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(In millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,,2006-12-31 00:00:00,2007-12-31 00:00:00,2008-12-30 00:00:00,2009-12-30 00:00:00,2010-12-30 00:00:00,2011-12-30 00:00:00,2012-12-29 00:00:00,2013-12-29 00:00:00,2014-12-29 00:00:00,2015-12-29 00:00:00,2016-12-28 00:00:00,2017-12-28 00:00:00,2018-12-28 00:00:00,2019-12-28 00:00:00,2020-12-27 00:00:00,2021-12-27 00:00:00,2022-12-27 00:00:00,2023-12-27 00:00:00,2024-12-26 00:00:00,2025-12-26 00:00:00,2026-12-26 00:00:00,2027-12-26 00:00:00,2028-12-25 00:00:00,2029-12-25 00:00:00,2030-12-25 00:00:00,2031-12-25 00:00:00,2032-12-24 00:00:00,2033-12-24 00:00:00,2034-12-24 00:00:00,2035-12-24 00:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GOOGLE DISTRIBUTION TAC SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total Distribution TAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,706,755,824,845,893,927,968,913,945,1052,1191,1217,1352,1559,1766,1805,2049,2401,2776,2902,3009,3155,3506,3383,3617,3856,4318.72,3973.2224,3774.56128,4453.9823104,5790.17700352,5590.17700352,6290.17700352,6690.17700352,7740.17700352,7140.17700352,7140.17700352,7140.17700352,7640.17700352,,,,,,,,,,,,,,,,,,,,,,,,,,154,390,654,904,1152,1517,2165,2965,3633,4101,5894,9031,12572,15174.72,17991.94299392,26310.70801408,29060.70801408,31837.71801408,36323.38801408,40323.38801408,45623.38801408,51373.38801408,56375.88801408,60878.13801408,64930.16301408,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Google Websites revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8640,8868,9376,10538,10469,10935,11252,12429,11932,12402,13087,14936,14328,15400,16089,17968,17441.7041574536,18465.9770787268,19766.8638221834,22286.4549416362,22153.5170652715,23289.7687468859,24082.7141878426,26925,25572,27245,28545,31902,28540,25131,31375,38788,37884,42847,45131,51934,46487,48029,46610,50567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31221,37422,45085,52357,63785,77961,96451,113264,123834,177796,191693,206543,234231,264899,303368.613292138,335873.768939506,370464.399676971,405627.88426503,442282.667519302,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,% of Google Websites revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0787037037037037,0.0796120884077582,0.0805247440273038,0.0781932055418486,0.0807144904002293,0.0816643804298125,0.0823853537148951,0.0778823718722343,0.0765169292658398,0.0761973875181422,0.0803851149996179,0.0797402249598286,0.0849385817978783,0.0877922077922078,0.0968985020821679,0.0982858414959929,0.10348759408516,0.110960822233473,0.121465904839466,0.124559962868468,0.130995001446035,0.129198363139709,0.131006828191845,0.130213556174559,0.132293133114344,0.132758304276014,0.135084953582063,0.135374584665538,0.139215921513665,0.150195427161673,0.141959595550598,0.149277534379705,0.147560368586211,0.146805540726772,0.148239059704416,0.14903872229214,0.153595134199238,0.148663869818651,0.153189809129371,0.151090177458026,,,,,,,,,,,,,,,,,,,,,,,,,,0.0243178488115125,0.0367069015092654,0.0453732910607818,0.0574972685617274,0.059247068504423,0.0580225664563014,0.0693443515582461,0.079231468120357,0.0805811245425308,0.0783276352732204,0.0924041702594654,0.115839971267685,0.130345978787156,0.13397655036022,0.145290816689439,0.147982564366352,0.15160025673384,0.1541457130674,0.155075066981228,0.152221744944602,0.150389282262848,0.152954451240081,0.152176263261024,0.150083710651172,0.146806935433992,,,,,,,,,,,,,,,,,,,,,,,,,
