,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOOGL Model,1Q13,2Q13,3Q13,4Q13,1Q14,2Q14,3Q14,4Q14,1Q15,2Q15,3Q15,4Q15,1Q16,2Q16,3Q16,4Q16,1Q17,2Q17,3Q17,4Q17,1Q18,2Q18,3Q18,4Q18,1Q19,2Q19,3Q19,4Q19,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25,3Q25,4Q25E,1Q26E,2Q26E,3Q26E,4Q26E,1Q27E,2Q27E,3Q27E,4Q27E,1Q28E,2Q28E,3Q28E,4Q28E,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024E,2025E,2026E,2027E,2028E,2029E,2030E,2031E,2032E,2033E,2034E,2035E
,YouTube Revenue,322.535481122172,370.34463840095,464.804213148217,568.319958028713,502.301210708586,561.719894970569,719.474736772347,882.469150312089,751.314223978601,843.901752985988,1076.04168465633,1321.31843025165,1096.18865847032,1252.42815536869,1598.99783413961,1975.42599696349,1577.4650691534,1697.56839159461,2185.40479828456,2687.58292181883,2162.135,2348.1275,3039.7375,3605,3025,3603,3804,4717,4038,3812,5037,6885,6005,7002,7205,8633,6869,7340,7071,7963,6693,7665,7952,9200,8090,8663,8921,10473,8927,9796,10261,11383,9975.33538757357,10761.4841588854,10872.7516636253,12621.7018382128,11092.7827347364,11939.6402261212,12388.2186772541,13700.8088628261,,,,,,1726.00429070005,2665.96499276359,3992.57609187257,5923.04064494211,8150,11155,15149,19772,28845,29243,31510,36147,40367,44231.273048297,49121.4505009377,54461.4516846282,59968.2515048547,65627.9861781647,71415.1225345831,77304.9878364689,83274.0775769603,89300.2844626222,95363.0527269915
,% US,0.5,0.4925,0.485,0.4775,0.47,0.4625,0.455,0.4475,0.4,0.3925,0.39,0.38,0.3475,0.37,0.37,0.375,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.38,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.4025,0.405,0.42,0.4,0.402,0.41,0.42,0.395,0.4,0.41,0.42,0.375,0.385,0.415,0.4275,,,,,,0.486942763026542,0.456923843246063,0.389100759109495,0.367503458828466,0.359912592037608,0.35,0.35,0.35,0.35,0.375302123585131,0.39,0.405389728054887,0.408667029999752,0.407037664869441,0.402161608646395,0.394161608646395,0.388161608646395,0.383161608646395,0.379161608646395,0.375161608646395,0.372161608646395,0.370161608646395,0.369161608646395
,US YouTube Revenue,161.267740561086,182.394734412468,225.430043376885,271.37277995871,236.081569033035,259.795451423888,327.361005231418,394.90494476466,300.52568959144,331.231438047,419.656257015969,502.101003495625,380.925558818436,463.398417486416,591.629198631656,740.784748861308,567.887424895224,611.124620974059,786.745727382442,967.529851854777,756.74725,821.844625,1063.908125,1261.75,1058.75,1261.05,1331.4,1650.95,1413.3,1334.2,1762.95,2409.75,2101.75,2450.7,2521.75,3021.55,2472.84,2789.2,2686.98,3025.94,2610.27,2989.35,3101.28,3588,3155.1,3486.8575,3613.005,4398.66,3570.8,3937.992,4207.01,4780.86,3940.25747809156,4304.59366355416,4457.82818208636,5301.11477204938,4159.79352552613,4596.76148705665,5141.11075106046,5857.09578885814,,,,,,840.46529830915,1218.142970453,1553.51438815004,2176.73792379782,2933.2876251065,3904.25,5302.15,6920.2,10095.75,10974.96,12288.9,14653.6225,16496.662,18003.7940957815,19754.7615525014,21466.613405231,23277.372971836,25146.124756249,27077.872741892,29001.8635931197,30991.4146695863,33055.5369492649,35204.3779501272
,% change Y/Y,,,,,0.463910687975508,0.424358286771515,0.452162277607868,0.455212069628887,0.272973959053056,0.274970120652942,0.281937220101418,0.271447750027158,0.267530770285556,0.399017014262581,0.40979477546344,0.475369982740459,0.490809455413572,0.318788752643882,0.329795299491741,0.306087704075994,0.33256560512785,0.344806929378952,0.352289676284226,0.304094129582871,0.399080075943454,0.534414123594226,0.251423848276372,0.308460471567268,0.334876033057851,0.0580072162087149,0.324132492113565,0.459614161543354,0.487122337790986,0.836831059811123,0.430414929521541,0.253885257806826,0.176562388485785,0.138123801362876,0.0655219589570735,0.00145289669209525,0.0555757752220121,0.0717589272909796,0.154187973114798,0.185747238874532,0.208725534140146,0.166426647933497,0.165004449775577,0.225936454849498,0.131754936452094,0.12938139858024,0.164407466914659,0.0868900983481333,0.10346630393513,0.0930935521337157,0.0596191076527881,0.108820331917141,0.0557161679548168,0.0678734966266852,0.153277008683253,0.104880018772697,,,,,,,0.449367359846581,0.275313674857326,0.401170108498275,0.347561225923198,0.33101505852439,0.358045719408337,0.305168657997228,0.458881246206757,0.0870871406284821,0.119721620853288,0.192427515888322,0.125773644025564,0.0913598215070086,0.0972554700084136,0.0866551513760401,0.0843523630124063,0.0802819023724901,0.0768209020025219,0.0710539882348711,0.0686008011201926,0.066603035120701,0.0650069912390288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Google Display Network (GDN) Revenue ,1185.41637228235,1060.71090374118,1008.33760952941,1086.93572084706,1375.27038926786,1574.44700367857,1619.92477805095,1562.59744215385,1541.30869830409,1695.52915747024,1622.12409005952,1910.71317151786,2019.83627216071,2143.49030519643,2179.73050261048,2387.14514980964,2340.93217062937,2137.58648997794,2475.05070151851,2629.51009256211,2318.25608914822,2246.83767573198,2672.08747310675,2838.85914919346,2491.37729651206,2413.60328016973,2874.62247717054,3052.9014902832,2603.53812259917,2204.60905966303,3019.61608725989,3299.7902023618,3053.61246586417,3051.38790775895,4278.39068457562,3912.89569888145,3273.17322861636,3270.1478613167,3809.22765127922,3432.08800988066,3084.25582431798,3060.70529757956,3468.78124607544,3372.9817364582,3062.51451852903,3013.30590042403,3410.62932383713,3318.95646967247,2989.0446464763,2916.06742743883,3293.14380360103,3237.51449311311,2918.00456422708,2847.45771375812,3238.80383461979,3186.52958124282,2873.78792938854,2804.83366477476,3188.54206875968,3139.44929099517,,,,,,4341.4006064,6132.23961315122,6769.67511735171,8730.20222977726,9583.07945468794,10076.0403871804,10832.5045441355,11127.5534718839,14296.2867570802,13784.6367510929,12986.7241044312,12805.4062124626,12435.7703706293,12190.7956938478,12006.6129539182,11871.6575067801,11776.920790521,11715.341041915,11681.3092173192,11670.3259034929,11678.7501636181,11703.6130463413,11742.4772504744
,% US,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.693,0.693,0.693,0.693,0.6855,0.6855,0.6855,0.6855,0.67,0.67,0.67,0.67,0.663,0.663,0.663,0.663,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.693,0.6855,0.67,0.663,0.6555,0.648,0.6405,0.633,0.6255,0.618,0.610500000000001,0.603000000000001
,US GDN Display Revenue,829.791460597647,742.497632618823,705.836326670588,760.855004592941,962.6892724875,1102.112902575,1133.94734463566,1093.81820950769,1078.91608881287,1186.87041022917,1135.48686304167,1337.4992200625,1413.8853905125,1500.4432136375,1525.81135182733,1671.00160486675,1638.65251944056,1496.31054298456,1732.53549106296,1840.65706479348,1622.77926240375,1572.78637301238,1870.46123117472,1987.20140443542,1743.96410755844,1689.52229611881,2012.23573401938,2137.03104319824,1822.47668581942,1543.22634176412,2113.73126108192,2309.85314165326,2137.52872610492,2135.97153543126,2994.87347920294,2739.02698921701,2291.22126003145,2289.10350292169,2666.45935589546,2402.46160691646,2158.97907702259,2142.49370830569,2428.14687225281,2361.08721552074,2122.32256134062,2088.22098899385,2363.56612141913,2300.03683348302,2048.9901051595,1998.96422150932,2257.45007736851,2219.31618502904,1955.06305803214,1907.79666821794,2169.99856919526,2134.97481943269,1905.3213971846,1859.60471974567,2114.00339158767,2081.45487992979,,,,,,3038.98042448,4292.56772920586,4738.7725821462,6111.14156084408,6708.15561828156,7053.22827102628,7582.75318089487,7789.28743031872,10007.4007299561,9649.24572576506,9090.70687310183,8874.14650523662,8524.72058906636,8167.83311487803,7960.38438844774,7781.87149569434,7631.44467225762,7503.67593734654,7394.26873456305,7299.7888526348,7217.46760111602,7145.0557647914,7080.71378203606
,% change Y/Y,,,,,0.160158085736548,0.484331874147257,0.606530156905446,0.437617158203339,0.120731392409771,0.0769045598287959,0.00135766304607166,0.222780173557802,0.310468353538228,0.264201382649507,0.343750774658979,0.249347722826086,0.158971250736658,-0.00275429993976339,0.135484730132628,0.101529202265642,-0.00968677425414422,0.0511095977946432,0.0796091859723698,0.079615232215124,0.0746773439630843,0.0742223642762356,0.0757965471198883,0.0753973092150586,0.0450196067228117,-0.086590129464856,0.0504391833156668,0.0808701862357513,0.172870271941968,0.384094787411127,0.41686577397261,0.185801356728928,0.0719019735498934,0.0716919513908736,-0.109658763746803,-0.12287771665834,-0.0577168976718769,-0.0640468176423101,-0.0893741294483803,-0.0172216660098142,-0.0169786340553729,-0.0253315653163625,-0.026596723440277,-0.0258568940767638,-0.0345529268344542,-0.0427429701908797,-0.0448965836364701,-0.035095372073563,-0.0458406543256822,-0.0456073962257,-0.0387390662810084,-0.0380033120856306,-0.0254424841404387,-0.0252605265933772,-0.0258042463264647,-0.0250681830135651,,,,,,,,0.103948238231501,0.289604313122859,0.0976927226269351,0.0514407644039006,0.0750755383947805,0.0272373693956209,0.284764597465451,-0.0357890139363535,-0.0578841982614077,-0.0238221703645501,-0.0393757209173928,-0.0418650054813603,-0.0253982572259491,-0.0224251598971099,-0.019330417306422,-0.0167424046688767,-0.0145804807799547,-0.0127774476854775,-0.0112772099550622,-0.0100328592141414,-0.00900510575052393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
