,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,300.784424583054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103461063040791,0.130786101812305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2027-Q2,2027-Q3,2027-Q4,2028-Q1,2028-Q2,2028-Q3,2028-Q4,,,,,,2009-FY,2010-FY,2011-FY,2012-FY,2013-FY,2014-FY,2015-FY,2016-FY,2017-FY,2018-FY,2019-FY,2020-FY,2021-FY,2022-FY,2023-FY,2024-FY,2025-FY,2026-FY,2027-FY,2028-FY,2029-FY,2030-FY,2031-FY,2032-FY,2033-FY,2034-FY,2035-FY
,,,,,,,,Period-End Date,,,,,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00,2026-09-30 00:00:00,2026-12-31 00:00:00,2027-03-31 00:00:00,2027-06-30 00:00:00,2027-09-30 00:00:00,2027-12-31 00:00:00,2028-03-31 00:00:00,2028-06-30 00:00:00,2028-09-30 00:00:00,2028-12-31 00:00:00,,,,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00
,,,,,,,,Morgan Stanley | YouTube Revenue estimates,,,,,2013-12-31 00:00:00,,,,2014-12-31 00:00:00,,,,2015-12-31 00:00:00,,,,2016-12-31 00:00:00,,,,2017-12-31 00:00:00,,,,2018-12-31 00:00:00,,,,2019-12-31 00:00:00,,,,2020-12-31 00:00:00,,,,2021-12-31 00:00:00,,,,2022-12-31 00:00:00,,,,2023-12-31 00:00:00,,,,2024-12-31 00:00:00,,,,2025-12-31 00:00:00,,,,2026-12-31 00:00:00,,,,2027-12-31 00:00:00,,,,2028-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(In millions),,,,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,,,,,,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,2026-12-31 00:00:00,2027-12-31 00:00:00,2028-12-31 00:00:00,2029-12-31 00:00:00,2030-12-31 00:00:00,2031-12-31 00:00:00,2032-12-31 00:00:00,2033-12-31 00:00:00,2034-12-31 00:00:00,2035-12-31 00:00:00
,,,,,,,,Gross YouTube revenue,,,,,322.535481122172,370.34463840095,464.804213148217,568.319958028713,502.301210708586,561.719894970569,719.474736772347,882.469150312089,751.314223978601,843.901752985988,1076.04168465633,1321.31843025165,1096.18865847032,1252.42815536869,1598.99783413961,1975.42599696349,1577.4650691534,1697.56839159461,2185.40479828456,2687.58292181883,2162.135,2348.1275,3039.7375,3605,3025,3603,3804,4717,4038,3812,5037,6885,6005,7002,7205,8633,6869,7340,7071,7963,6693,7665,7952,9200,8090,8663,8921,10473,8927,9796,10261,11383,9975.33538757357,10761.4841588854,10872.7516636253,12621.7018382128,11092.7827347364,11939.6402261212,12388.2186772541,13700.8088628261,,,,,,,,,,81.2999267004662,200.399490199836,494.482801975589,1049.22164833135,1726.00429070005,2665.96499276359,3992.57609187257,5923.04064494211,8150,11155,15149,19772,28845,29243,31510,36147,40367,44231.273048297,49121.4505009377,54461.4516846282,59968.2515048547,65627.9861781647,71415.1225345831,77304.9878364689,83274.0775769603,89300.2844626222,95363.0527269915
,,,,,,,,Abs. Y/Y Change,,,,,,,,,179.765729586413,191.375256569619,254.67052362413,314.149192283375,249.013013270015,282.181858015419,356.566947883985,438.849279939557,344.87443449172,408.526402382703,522.95614948328,654.107566711842,481.276410683078,445.140236225918,586.40696414495,712.156924855337,584.669930846601,650.559108405392,854.332701715439,917.417078181175,862.865,1254.8725,764.2625,1112,1013,209,1233,2168,1967,3190,2168,1748,864,338,-134,-670,-176,325,881,1237,1397,998,969,1273,837,1133,1340,910,1048.33538757357,965.484158885389,611.751663625257,1238.70183821282,1117.44734716278,1178.15606723578,1515.46701362886,1079.10702461325,,,,,,,,,,,119.099563499369,294.083311775753,554.738846355758,676.782642368705,939.960702063538,1326.61109910898,1930.46455306954,2226.95935505789,3005,3994,4623,9073,398,2267,4637,4220,3864.27304829704,4890.17745264067,5340.00118369046,5506.7998202265,5659.73467331004,5787.13635641843,5889.8653018858,5969.08974049139,6026.20688566186,6062.76826436931
,,,,,,,,Sequential Change,,,,,,47.8091572787777,94.4595747472666,103.515744880496,-66.0187473201273,59.4186842619833,157.754841801778,162.994413539742,-131.154926333488,92.5875290073872,232.139931670344,245.276745595314,-225.129771781325,156.23949689837,346.569678770921,376.428162823876,-397.960927810089,120.103322441209,487.836406689953,502.178123534264,-525.447921818825,185.9925,691.61,565.2625,-580,578,201,913,-679,-226,1225,1848,-880,997,203,1428,-1764,471,-269,892,-1270,972,287,1248,-1110,573,258,1552,-1546,869,465,1122,-1407.66461242643,786.148771311817,111.267504739868,1748.95017458756,-1528.91910347646,846.85749138481,448.578451132948,1312.59018557195,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,% change Y/Y,,,,,NA,NA,NA,NA,0.557351795718625,0.5167490945621,0.547909240966628,0.552768186028589,0.495744401887341,0.50235332688404,0.495593423451654,0.49729702141356,0.459028224789129,0.484092373238008,0.485999898461464,0.495041582510332,0.439045238211712,0.355421773550657,0.366734057810956,0.36050802507916,0.370638908131503,0.383229984504065,0.390926524178061,0.341353961856668,0.399080075943454,0.534414123594226,0.251423848276372,0.308460471567268,0.334876033057851,0.0580072162087149,0.324132492113565,0.459614161543354,0.487122337790986,0.836831059811123,0.430414929521541,0.253885257806826,0.143880099916736,0.048271922307912,-0.0185981956974324,-0.0776091740993861,-0.0256223613335275,0.0442779291553133,0.124593409701598,0.155343463518774,0.208725534140146,0.130202217873451,0.121856136820925,0.138369565217391,0.103461063040791,0.130786101812305,0.150207375854725,0.0868900983481333,0.117434231833043,0.0985590198943844,0.0596191076527879,0.108820331917141,0.112021030245741,0.109478957534218,0.139382104964178,0.0854961587942287,,,,,,,,,,,1.46494060121565,1.46748532884239,1.12185670389229,0.645033052306004,0.544587697219628,0.497610097173026,0.483513528270449,0.375982453701304,0.368711656441718,0.358045719408337,0.305168657997228,0.458881246206757,0.0137978852487433,0.077522825975447,0.147159631862901,0.116745511384071,0.0957285170633695,0.110559274369087,0.108710168963527,0.101113717131797,0.0943788509967123,0.0881809223995949,0.0824736427362931,0.0772148073177168,0.0723659398099312,0.0678919255504384
