year,trade_date,adjusted_close,ticker
2004,2004-12-31,4.759786605834961,GOOG
2005,2005-12-30,10.242465019226074,GOOG
2006,2006-12-29,11.36877727508545,GOOG
2007,2007-12-31,17.071928024291992,GOOG
2008,2008-12-31,7.595561504364014,GOOG
2009,2009-12-31,15.306666374206543,GOOG
2010,2010-12-31,14.664505958557129,GOOG
2011,2011-12-30,15.946602821350098,GOOG
2012,2012-12-31,17.464481353759766,GOOG
2013,2013-12-31,27.669172286987305,GOOG
2014,2014-12-31,26.018537521362305,GOOG
2015,2015-12-31,37.61238098144531,GOOG
2016,2016-12-30,38.253726959228516,GOOG
2017,2017-12-29,51.86273956298828,GOOG
2018,2018-12-31,51.32795715332031,GOOG
2019,2019-12-31,66.26673889160156,GOOG
2020,2020-12-31,86.82846069335938,GOOG
2021,2021-12-31,143.41505432128906,GOOG
2022,2022-12-30,87.95453643798828,GOOG
2023,2023-12-29,139.69830322265625,GOOG
2024,2024-12-31,189.4539031982422,GOOG
2025,2025-12-31,313.3904724121094,GOOG
