from_year,to_year,period,Price_pct_change,EV_pct_change,eff_delta_cash,FCF_pct_change,c_return
2004,2005,2004-2005,1.151874835453751,1.0929690455259609,-0.05890578992779005,1.4636539224282692,1.5225597123560592
2005,2006,2005-2006,0.10996495997254385,0.08628396077349643,-0.023680999199047426,0.03485370449758052,0.05853470369662794
2006,2007,2006-2007,0.5016503192216577,0.5287142480919544,0.02706392887029674,1.0102222672571544,0.9831583383868576
2007,2008,2007-2008,-0.5550847277732114,-0.6002766500279227,-0.04519192225471136,0.629142167545818,0.6743340898005293
2008,2009,2008-2009,1.0152119583801844,1.1100351328766243,0.09482317449643984,0.548361275743503,0.4535381012470632
2009,2010,2009-2010,-0.041952989628853965,-0.08916807304806451,-0.047215083419210546,-0.16977281890515328,-0.12255773548594273
2010,2011,2010-2011,0.08742857525621806,0.050118757923123036,-0.03730981733309502,0.5753928925385814,0.6127027098716764
2011,2012,2011-2012,0.09518507166789525,0.10586626772596808,0.010681196058072828,0.19942482250381954,0.18874362644574671
2012,2013,2012-2013,0.5843111356427808,0.6659488127607041,0.08163767711792325,-0.1171886707627754,-0.19882634788069864
2013,2014,2013-2014,-0.05965609482294798,-0.09153205935543973,-0.03187596453249175,0.02401969105415036,0.05589565558664211
2014,2015,2014-2015,0.44559935202214884,0.5099587530085234,0.0643594009863746,0.38060505594695404,0.31624565496057944
2015,2016,2015-2016,0.017051459148507142,-0.012558949865039581,-0.029610409013546724,0.5647475535810771,0.5943579625946238
2016,2017,2016-2017,0.3557565153916764,0.3878135954012305,0.032057080009554095,-0.0806860036832413,-0.1127430836927954
2017,2018,2017-2018,-0.010311495578024132,-0.032793589320071814,-0.022482093742047682,-0.04549058887358626,-0.023008495131538576
2018,2019,2018-2019,0.2910457101118993,0.3317619445548463,0.04071623444294703,0.3542040138166236,0.31348777937367656
2019,2020,2019-2020,0.3102872141541846,0.3380009345044468,0.027713720350262205,0.38328167376985656,0.35556795341959435
2020,2021,2020-2021,0.6517055948713533,0.7283533923115406,0.07664779744018735,0.5641294960670356,0.4874816986268482
2021,2022,2021-2022,-0.38671336245533894,-0.40837542137681726,-0.021662058921478322,-0.10448874828388943,-0.08282668936241111
2022,2023,2022-2023,0.5883012847341824,0.659011259646602,0.0707099749124196,0.15805699050158317,0.08734701558916358
2023,2024,2023-2024,0.3561646693466538,0.38591405339013507,0.029749384043481264,0.04703935534930581,0.017289971305824547
2024,2025,2024-2025,0.6541779668914054,0.6771851367105355,0.02300716981913009,0.006899015996921554,-0.016108153822208537
