year,Price,NetCash_total,Shares,NetCash_per_share,EV_per_share,FCF_total
2004,4.759786605834961,2132.297,10911.24,0.1954220601874764,4.564364545647485,658.049
2005,10.242465019226074,8048.616,11674.96,0.6893913126897223,9.553073706536352,1621.205
2006,11.36877727508545,12275.764000000001,12381.92,0.9914265315879929,10.377350743497455,1677.71
2007,17.071928024291992,15278.307,12648.4,1.2079240852597959,15.864003939032196,3372.57
2008,7.595561504364014,15930.931,12700.56,1.2543487058838352,6.3412127984801785,5494.396
2009,15.306666374206543,24614.0,12776.64,1.9264845843664689,13.380181789840075,8507.31
2010,14.664505958557129,32033.0,12930.04,2.4774091959498965,12.187096762607233,7063.0
2011,15.946602821350098,41212.0,13088.56,3.148703906312077,12.79789891503802,11127.0
2012,17.464481353759766,44020.0,13292.2,3.3117166458524547,14.152764707907311,13346.0
2013,27.669172286987305,55448.0,13552.36,4.091390724567529,23.577781562419776,11782.0
2014,26.018537521362305,62237.0,13533.0809724372,4.598878860383528,21.419658660978776,12065.0
2015,37.61238098144531,73029.0,13858.6,5.269579899845583,32.34280108159973,16657.0
2016,38.253726959228516,88276.0,13974.095,6.317117494907542,31.936609464320973,26064.0
2017,51.86273956298828,105715.0,14019.295,7.540678757384019,44.32206080560426,23961.0
2018,51.32795715332031,118987.0,14065.695,8.459375807594293,42.86858134572602,22871.0
2019,66.26673889160156,128199.0,13971.13,9.175993638309858,57.0907452532917,30972.0
2020,86.82846069335938,143465.0,13740.555,10.440990192899777,76.3874705004596,42843.0
2021,143.41505432128906,154381.0,13553.475,11.390510551721976,132.0245437695671,67012.0
2022,87.95453643798828,129553.0,13158.505,9.845571362400213,78.10896507558807,60010.0
2023,139.69830322265625,128671.0,12721.25,10.11465068291245,129.5836525397438,69495.0
2024,189.4539031982422,122756.0,12447.25,9.862098053786982,179.5918051444552,72764.0
2025,313.3904724121094,148983.0,12230.0,12.181766148814392,301.20870626329497,73266.0
