overall_rank,metric,type,mean_abs,mean,positive_periods,negative_periods,periods
1,EV,derived-level,0.571768,0.408418,4,1,5
2,Price,factor,0.527413,0.372727,4,1,5
3,EPS,factor,0.42094,0.345915,4,1,5
4,Net Margin,factor,0.217982,0.105378,4,1,5
5,Revenue,factor,0.17714,0.17714,5,0,5
6,FCF,factor,0.176123,0.134327,4,1,5
7,C-Return,derived-delta,0.138211,0.098637,3,2,5
8,NetCash,factor,0.100668,0.015228,2,3,5
9,eff.dCash,derived-delta,0.044355,0.03569,4,1,5
10,Shares,factor,0.022996,-0.022996,0,5,5
