from_year,to_year,period,Revenue_pct_change,Shares_pct_change,shares_base_change,eff_shares_change,Net_Margin_pct_change,Rev_per_share_pct_change,eff_net_margin_change
2001,2002,2001-2002,4.085367829125494,0.18127061292671431,-0.15345392575000116,-0.7803696572620682,1.8055284021010038,3.304998171863426,7.772796470292314
2002,2003,2002-2003,2.33539776295312,0.1631895500673064,-0.14029489007863227,-0.467939262522024,-0.6821587973428676,1.8674585004310962,-1.956062042084659
2003,2004,2003-2004,1.17555701689162,0.06290183059406629,-0.059179341669690966,-0.1287480320245228,0.7364834684429487,1.0468089848670972,1.5074409804151105
2004,2005,2004-2005,0.9247823059096214,0.0699938778727256,-0.06541521341400736,-0.12591004531658306,0.9075295641548091,0.7988722605930383,1.6325297586261762
2005,2006,2005-2006,0.7275903469217535,0.060553526521718304,-0.05709615310065008,-0.09863876294304963,0.21561030846512885,0.6289515839787039,0.3512187534964086
2006,2007,2006-2007,0.5647445425551187,0.02152170261154973,-0.021068277410581593,-0.03296647209924484,-0.12702884395211367,0.5317780704558741,-0.19457999748120902
2007,2008,2007-2008,0.3134607923617627,0.004123841750735213,-0.004106905522276216,-0.005394259381443818,-0.23446198139891283,0.30806653298031894,-0.30669187112417196
2008,2009,2008-2009,0.0851097127624676,0.005990287042461073,-0.005954617176346821,-0.006461412933836155,0.42162851799027545,0.07864829982863131,0.4547888840894761
2009,2010,2009-2010,0.23975907042889433,0.012006286472812988,-0.01186384574216337,-0.014708310369016256,0.05210621906968127,0.22505076005987812,0.06383276327515955
2010,2011,2010-2011,0.2927594556802291,0.012259822862110248,-0.012111339979340663,-0.015657049279250632,-0.11440913307744116,0.2771024064009784,-0.14611217916744987
2011,2012,2011-2012,0.3237039968341908,0.015558625242196422,-0.015320263011390223,-0.020279493380728254,-0.16695799067032457,0.3034245034534624,-0.2176171360870556
2012,2013,2012-2013,0.10650722471350282,0.019572380794751876,-0.019196656523291833,-0.021241239133366004,0.07175009840464974,0.08526598558013676,0.077867941260594
2013,2014,2013-2014,0.18880023055170292,-0.001422558695518772,0.0014245852516561186,0.0016935472756093495,-0.066128940762606,0.19049377782731236,-0.07872609251219337
2014,2015,2014-2015,0.13617975485219924,0.02405357865114266,-0.023488593910120814,-0.026687264870623926,0.017867027213038567,0.10949248998157524,0.019823332511162722
2015,2016,2015-2016,0.20380322447292265,0.008333814382404992,-0.008264935940395346,-0.009949356535110065,-0.01025291765367009,0.19385386793781278,-0.012240485398481922
2016,2017,2016-2017,0.22801090038993266,0.0032345565133198306,-0.0032241278894552527,-0.003959264192502238,-0.47063438788786216,0.22405163619743051,-0.5760807925449138
2017,2018,2017-2018,0.23421586757475987,0.0033097242051043363,-0.003298806066817095,-0.004071438791717542,0.9667715287298606,0.2301444287830421,1.1892686099731027
2018,2019,2018-2019,0.18300089899794614,-0.006723094735098467,0.006768600678685344,0.00800726068784287,-0.055491636964573154,0.1910081596857891,-0.06609099241912818
2019,2020,2019-2020,0.1277053201282614,-0.016503675794298567,0.01678061766791794,0.01892359181914936,0.03976928886857123,0.1466289119474109,0.045600616424292105
2020,2021,2020-2021,0.41150076427049154,-0.013615170566254386,0.01380310215645797,0.019483089243144094,0.3376736247040142,0.43098385351363566,0.4832055047088674
2021,2022,2021-2022,0.09780815643715779,-0.029141603906009395,0.030016327842714796,0.03295216953202406,-0.2815112827923465,0.13076032596918163,-0.3183217898942762
2022,2023,2022-2023,0.0868277022726951,-0.03322983880007635,0.03437201532868217,0.037356458442153496,0.1321858038567083,0.12418416071484861,0.14860118696707122
2023,2024,2023-2024,0.1386624332290156,-0.02153876387933573,0.022012894414428885,0.025065255916347,0.19148954437576338,0.1637276891453625,0.22284168497190546
2024,2025,2024-2025,0.1509008108154437,-0.01745365442165936,0.017763695829926318,0.020444251933741116,0.1470512660693044,0.17134506274918482,0.17224777448129644
