year,Revenue,Rev_per_share,Net Margin,Shares
2001,86.426,0.01156813509230308,0.08082058639761194,7471.04
2002,439.508,0.04980080042423391,0.22674445061295836,8825.32
2003,1465.934,0.14280172850474207,0.07206872887865347,10265.52
2004,3189.223,0.2922878609580579,0.12514615628947867,10911.24
2005,6138.56,0.5257885251855253,0.23871999296251886,11674.96
2006,10604.917,0.8564840509387881,0.2901904842819609,12381.92
2007,16593.986,1.3119434869232474,0.2533279225377194,12648.4
2008,21795.55,1.7161093684058026,0.1939321558758554,12700.56
2009,23650.563,1.8510784525509054,0.2756994833484514,12776.64
2010,29321.0,2.2676650652279497,0.29006514102520375,12930.04
2011,37905.0,2.8960405117140464,0.25687903970452447,13088.56
2012,50175.0,3.7747701659619923,0.21399103139013453,13292.2
2013,55519.0,4.096629664501238,0.22934490895008916,13552.36
2014,66001.0,4.877012125651514,0.21417857305192345,13533.0809724372
2015,74989.0,5.411008326959433,0.21800530744509194,13858.6
2016,90272.0,6.459953220584231,0.2157701169797944,13974.095
2017,110855.0,7.9073163094149885,0.11422128005051645,14019.295
2018,136819.0,9.727141104652134,0.22464716157843576,14065.695
2019,161857.0,11.58510442605573,0.2121811228430034,13971.13
2020,182527.0,13.283815682845416,0.22061941520980458,13740.555
2021,257637.0,19.008925755203002,0.2951167728237792,13553.475
2022,282836.0,21.49453908327732,0.2120380715326196,13158.505
2023,307394.0,24.163820379286626,0.24006649446638517,12721.25
2024,350018.0,28.120106850910844,0.28603671811164,12447.25
2025,402836.0,32.938348323793946,0.3280987796522654,12230.0
