window_label,base_year,target_year,horizon_years,period,delta_rev_per_share,delta_net_margin,delta_eps_sheet_logic,delta_eps_actual_cagr,additive_gap
2015_2025,2015,2016,1,2015-2016,0.19385386793781278,-0.01025291765367009,0.1836009502841427,0.18161338253933068,-0.0019875677448120133
2015_2025,2015,2017,2,2015-2017,0.20885846170257283,-0.2761643348919125,-0.06730587318933967,-0.12498513135197875,-0.05767925816263908
2015_2025,2015,2018,3,2015-2018,0.2159125411651759,0.010054069926912934,0.22596661109208882,0.2281374108790608,0.0021707997869719886
2015_2025,2015,2019,4,2015-2019,0.20963804506423944,-0.006746923022990181,0.20289112204124926,0.20147671028851066,-0.001414411752738598
2015_2025,2015,2020,5,2015-2020,0.19676513282879937,0.002386784906774242,0.1991519177355736,0.19962155378478874,0.00046963604921512747
2015_2025,2015,2021,6,2015-2021,0.23295311458647272,0.05177086843354184,0.28472398302001456,0.2967841680664547,0.01206018504644013
2015_2025,2015,2022,7,2015-2022,0.21780726921672589,-0.003956945907791609,0.21385032330893428,0.21298847172631974,-0.0008618515826145368
2015_2025,2015,2023,8,2015-2023,0.20569073757150136,0.012122455581703884,0.21781319315320524,0.22030666998298387,0.002493476829778629
2015_2025,2015,2024,9,2015-2024,0.20095443243165967,0.030637831364362267,0.23159226379602194,0.23774907180878424,0.006156808012762305
2015_2025,2015,2025,10,2015-2025,0.19796012248361694,0.04172660242715964,0.23968672491077658,0.24794692823808218,0.008260203327305593
2010_2025,2010,2011,1,2010-2011,0.2771024064009784,-0.11440913307744116,0.16269327332353722,0.13099022723352838,-0.031703046090008846
2010_2025,2010,2012,2,2010-2012,0.2901963299910668,-0.14108533879949536,0.14911099119157145,0.10816854365641149,-0.040942447535159965
2010_2025,2010,2013,3,2010-2013,0.21791206286619835,-0.07530639388416727,0.1426056689820311,0.1261954973437176,-0.016410171638313487
2010_2025,2010,2014,4,2010-2014,-0.4273539985821587,-0.07302052071236464,-0.5003745192945234,-0.469168907789543,0.031205611504980357
2010_2025,2010,2015,5,2010-2015,-0.34636716692670844,-0.055516651994031996,-0.40188381892074043,-0.3826546734523115,0.01922914546842891
2010_2025,2010,2016,6,2010-2016,-0.277335460755614,-0.0481190701625146,-0.3254545309181286,-0.31210940642347584,0.01334512449465275
2010_2025,2010,2017,7,2010-2017,-0.22083137190371727,-0.1246559515718082,-0.34548732347552547,-0.31795937867395985,0.027527944801565618
2010_2025,2010,2018,8,2010-2018,-0.17506061450262744,-0.03144190669864788,-0.20650252120127532,-0.20099828169347567,0.0055042395077996575
2010_2025,2010,2019,9,2010-2019,-0.14070269498309373,-0.0341440580788942,-0.17484675306198794,-0.17004259207262828,0.0048041609893596515
2010_2025,2010,2020,10,2010-2020,-0.115553854497504,-0.026995567016425026,-0.14254942151392902,-0.13942997969083548,0.0031194418230935383
2010_2025,2010,2021,11,2010-2021,-0.0760083196461514,0.0015708321131124858,-0.07443748753303892,-0.07455688384240278,-0.0001193963093638617
2010_2025,2010,2022,12,2010-2022,-0.06032731513001188,-0.02577367914842854,-0.08610099427844042,-0.08454613741439332,0.001554856864047105
2010_2025,2010,2023,13,2010-2023,-0.04727864592041686,-0.014447660651549232,-0.061726306571966094,-0.06104324073964318,0.0006830658323229155
2010_2025,2010,2024,14,2010-2024,-0.03356643621170319,-0.000998453669966315,-0.0345648898816695,-0.03453137535024631,3.351453142319549e-05
2010_2025,2010,2025,15,2010-2025,-0.02109729743549249,0.008247773582827245,-0.012849523852665246,-0.01302352958512265,-0.00017400573245740514
2001_2025,2001,2002,1,2001-2002,3.304998171863426,1.8055284021010038,5.11052657396443,11.077794642155743,5.967268068191313
2001_2025,2001,2003,2,2001-2003,2.51346034590546,-0.0556946884547741,2.457765657450686,2.3177792665420527,-0.1399863909086334
2001_2025,2001,2004,3,2001-2004,1.9343763186744063,0.15690715243873665,2.091283471113143,2.3948009510212698,0.30351747990812683
2001_2025,2001,2005,4,2001-2005,1.596491696316865,0.3109668167762907,1.9074585130931556,2.4039144539065918,0.49645594081343614
2001_2025,2001,2006,5,2001-2006,1.3653269806427057,0.2913151134969576,1.6566420941396633,2.0543824784660516,0.39774038432638825
