window_label,from_year,to_year,period,delta_rev_per_share_growth,delta_net_margin_growth,delta_eps_growth,rev_per_share_log_contribution,net_margin_log_contribution,eps_log_change,two_factor_tie_out_gap,dominant_two_factor
2015_2025,2015,2016,2015-2016,0.19385386793781278,-0.01025291765367009,0.18161338253933068,0.17718661881850858,-0.01030584086957276,0.1668807779489357,-1.3877787807814457e-16,rev_per_share
2015_2025,2016,2017,2016-2017,0.22405163619743051,-0.47063438788786216,-0.35202915634748344,0.20216636963612092,-0.6360759476416602,-0.4339095780055395,-1.6653345369377348e-16,net_margin
2015_2025,2017,2018,2017-2018,0.2301444287830421,0.9667715287298606,1.4194130387561446,0.20713158426576012,0.6763933805152692,0.8835249647810293,0.0,net_margin
2015_2025,2018,2019,2018-2019,0.1910081596857891,-0.055491636964573154,0.12491716726666091,0.17480014147126358,-0.057090737621936505,0.11770940384932707,0.0,rev_per_share
2015_2025,2019,2020,2019-2020,0.1466289119474109,0.03976928886857123,0.19222952837170282,0.136826256547879,0.03899885091730162,0.17582510746518046,-1.6653345369377348e-16,rev_per_share
2015_2025,2020,2021,2020-2021,0.43098385351363566,0.3376736247040142,0.9141893582225031,0.35836221715191113,0.29093200422587834,0.6492942213777895,0.0,rev_per_share
2015_2025,2021,2022,2021-2022,0.13076032596918163,-0.2815112827923465,-0.18756146392509443,0.12289026129890523,-0.3306052768464057,-0.20771501554750033,1.6653345369377348e-16,net_margin
2015_2025,2022,2023,2022-2023,0.12418416071484861,0.1321858038567083,0.27278534768192,0.11705758210288494,0.12415010399448012,0.24120768609736518,1.1102230246251565e-16,net_margin
2015_2025,2023,2024,2023-2024,0.1637276891453625,0.19148954437576338,0.386569374117268,0.1516283779068784,0.17520424234045173,0.3268326202473301,0.0,net_margin
2015_2025,2024,2025,2024-2025,0.17134506274918482,0.1470512660693044,0.34359283723048173,0.15815271477675388,0.13719453293681502,0.29534724771356924,3.3306690738754696e-16,rev_per_share
2010_2025,2010,2011,2010-2011,0.2771024064009784,-0.11440913307744116,0.1309902272335286,0.24459376678811723,-0.12150021051062727,0.12309355627749004,8.326672684688674e-17,rev_per_share
2010_2025,2011,2012,2011-2012,0.3034245034534624,-0.16695799067032457,0.08580736736640682,0.26499503438149297,-0.18267120671875528,0.08232382766273771,2.7755575615628914e-17,rev_per_share
2010_2025,2012,2013,2012-2013,0.08526598558013676,0.07175009840464974,0.16313392684073058,0.08182510494868797,0.06929291831273993,0.15111802326142773,-1.6653345369377348e-16,rev_per_share
2010_2025,2013,2014,2013-2014,0.19049377782731236,-0.066128940762606,0.11176768531511883,0.1743681604105949,-0.06841690249173527,0.1059512579188595,-1.5265566588595902e-16,rev_per_share
2010_2025,2014,2015,2014-2015,0.10949248998157524,0.017867027213038567,0.129315822492738,0.10390269453621512,0.01770928799839314,0.12161198253460828,2.7755575615628914e-17,rev_per_share
2010_2025,2015,2016,2015-2016,0.19385386793781278,-0.01025291765367009,0.18161338253933068,0.17718661881850858,-0.01030584086957276,0.1668807779489357,-1.3877787807814457e-16,rev_per_share
2010_2025,2016,2017,2016-2017,0.22405163619743051,-0.47063438788786216,-0.35202915634748344,0.20216636963612092,-0.6360759476416602,-0.4339095780055395,-1.6653345369377348e-16,net_margin
