Period,Revenue,Net Margin,Share Count,Rank 1,Rank 2,Rank 3,Largest Driver,Direction
2001-2002,1.6263673629956013,1.0315918998792648,-0.16659064977025365,revenue,net_margin,share_count,revenue,positive
2002-2003,1.2045919415068858,-1.1462033836384629,-0.15116584397693728,revenue,net_margin,share_count,revenue,positive
2003-2004,0.777284731472997,0.5518620731123041,-0.06100274381959683,revenue,net_margin,share_count,revenue,positive
2004-2005,0.6548128735056781,0.6458089829579721,-0.06765292684317137,revenue,net_margin,share_count,revenue,positive
2005-2006,0.5467275745232472,0.19524626217025784,-0.05879096665951106,revenue,net_margin,share_count,revenue,positive
2006-2007,0.44772257907421664,-0.1358527637251543,-0.021293380876134936,revenue,net_margin,share_count,revenue,positive
2007-2008,0.2726654799543308,-0.26717640006072724,-0.004115362020060555,revenue,net_margin,share_count,revenue,positive
2008-2009,0.0816810996337938,0.3518030581454717,-0.005972416603562708,net_margin,revenue,share_count,net_margin,positive
2009-2010,0.21491706269742145,0.05079407791593794,-0.01193478277563673,revenue,net_margin,share_count,revenue,positive
2010-2011,0.2567790466594214,-0.12150021051062727,-0.012185279871304197,revenue,net_margin,share_count,revenue,positive
2011-2012,0.28043386517413466,-0.18267120671875528,-0.015438830792641446,revenue,net_margin,share_count,revenue,positive
2012-2013,0.10120840982656026,0.06929291831273993,-0.01938330487787237,revenue,net_margin,share_count,revenue,positive
2013-2014,0.1729445889178319,-0.06841690249173527,-2.994308702061228,share_count,revenue,net_margin,share_count,negative
2014-2015,0.12767154268624245,0.01770928799839314,-0.02376884815002728,revenue,share_count,net_margin,revenue,positive
2015-2016,0.1854858987065493,-0.01030584086957276,-0.00829927988804079,revenue,net_margin,share_count,revenue,positive
2016-2017,0.20539570622458758,-0.6360759476416602,-0.003229336588466706,net_margin,revenue,share_count,net_margin,negative
2017-2018,0.2104358433889969,0.6763933805152692,-0.003304259123236539,net_margin,revenue,share_count,net_margin,positive
2018-2019,0.16805434492660015,-0.057090737621936505,0.006745796544663331,revenue,net_margin,share_count,revenue,positive
2019-2020,0.12018487792544265,0.03899885091730162,0.01664137862243626,revenue,net_margin,share_count,revenue,positive
2020-2021,0.34465351017104895,0.29093200422587834,0.013708706980862195,revenue,net_margin,share_count,revenue,positive
2021-2022,0.09331560690852661,-0.3306052768464057,0.029574654390378728,net_margin,revenue,share_count,net_margin,negative
2022-2023,0.0832630880066023,0.12415010399448012,0.033794494096282664,net_margin,revenue,share_count,net_margin,positive
2023-2024,0.1298542693610936,0.17520424234045173,0.021774108545784845,net_margin,revenue,share_count,net_margin,positive
2024-2025,0.14054494949761556,0.13719453293681502,0.017607765279138352,revenue,net_margin,share_count,revenue,positive
