window_label,slot,from_year,to_year,period,revenue_log_contribution,net_margin_log_contribution,share_count_log_contribution,rev_per_share_log_contribution,eps_log_change
2015_2025,2015-2020,2015,2016,2015-2016,0.1854858987065493,-0.01030584086957276,-0.00829927988804079,0.17718661881850858,0.1668807779489357
2015_2025,2015-2020,2016,2017,2016-2017,0.20539570622458758,-0.6360759476416602,-0.003229336588466706,0.20216636963612092,-0.4339095780055395
2015_2025,2015-2020,2017,2018,2017-2018,0.2104358433889969,0.6763933805152692,-0.003304259123236539,0.20713158426576012,0.8835249647810293
2015_2025,2015-2020,2018,2019,2018-2019,0.16805434492660015,-0.057090737621936505,0.006745796544663331,0.17480014147126358,0.11770940384932707
2015_2025,2015-2020,2019,2020,2019-2020,0.12018487792544265,0.03899885091730162,0.01664137862243626,0.136826256547879,0.17582510746518046
2015_2025,2020-2025,2020,2021,2020-2021,0.34465351017104895,0.29093200422587834,0.013708706980862195,0.35836221715191113,0.6492942213777895
2015_2025,2020-2025,2021,2022,2021-2022,0.09331560690852661,-0.3306052768464057,0.029574654390378728,0.12289026129890523,-0.20771501554750033
2015_2025,2020-2025,2022,2023,2022-2023,0.0832630880066023,0.12415010399448012,0.033794494096282664,0.11705758210288494,0.24120768609736518
2015_2025,2020-2025,2023,2024,2023-2024,0.1298542693610936,0.17520424234045173,0.021774108545784845,0.1516283779068784,0.3268326202473301
2015_2025,2020-2025,2024,2025,2024-2025,0.14054494949761556,0.13719453293681502,0.017607765279138352,0.15815271477675388,0.29534724771356924
2010_2025,2010-2015,2010,2011,2010-2011,0.2567790466594214,-0.12150021051062727,-0.012185279871304197,0.24459376678811723,0.12309355627749004
2010_2025,2010-2015,2011,2012,2011-2012,0.28043386517413466,-0.18267120671875528,-0.015438830792641665,0.26499503438149297,0.08232382766273771
2010_2025,2010-2015,2012,2013,2012-2013,0.10120840982656026,0.06929291831273993,-0.01938330487787237,0.08182510494868797,0.15111802326142773
2010_2025,2010-2015,2013,2014,2013-2014,0.1729445889178319,-0.06841690249173527,0.001423571492762839,0.1743681604105949,0.1059512579188595
2010_2025,2010-2015,2014,2015,2014-2015,0.12767154268624245,0.01770928799839314,-0.02376884815002728,0.10390269453621512,0.12161198253460828
2010_2025,2015-2020,2015,2016,2015-2016,0.1854858987065493,-0.01030584086957276,-0.00829927988804079,0.17718661881850858,0.1668807779489357
2010_2025,2015-2020,2016,2017,2016-2017,0.20539570622458758,-0.6360759476416602,-0.003229336588466706,0.20216636963612092,-0.4339095780055395
2010_2025,2015-2020,2017,2018,2017-2018,0.2104358433889969,0.6763933805152692,-0.003304259123236539,0.20713158426576012,0.8835249647810293
2010_2025,2015-2020,2018,2019,2018-2019,0.16805434492660015,-0.057090737621936505,0.006745796544663331,0.17480014147126358,0.11770940384932707
2010_2025,2015-2020,2019,2020,2019-2020,0.12018487792544265,0.03899885091730162,0.01664137862243626,0.136826256547879,0.17582510746518046
2010_2025,2020-2025,2020,2021,2020-2021,0.34465351017104895,0.29093200422587834,0.013708706980862195,0.35836221715191113,0.6492942213777895
2010_2025,2020-2025,2021,2022,2021-2022,0.09331560690852661,-0.3306052768464057,0.029574654390378728,0.12289026129890523,-0.20771501554750033
2010_2025,2020-2025,2022,2023,2022-2023,0.0832630880066023,0.12415010399448012,0.033794494096282664,0.11705758210288494,0.24120768609736518
2010_2025,2020-2025,2023,2024,2023-2024,0.1298542693610936,0.17520424234045173,0.021774108545784845,0.1516283779068784,0.3268326202473301
2010_2025,2020-2025,2024,2025,2024-2025,0.14054494949761556,0.13719453293681502,0.017607765279138352,0.15815271477675388,0.29534724771356924
2001_2025,2001-2005,2001,2002,2001-2002,1.6263673629956013,1.0315918998792648,-0.16659064977025365,1.4597767132253474,2.4913686131046124
2001_2025,2001-2005,2002,2003,2002-2003,1.2045919415068858,-1.1462033836384629,-0.15116584397693747,1.0534260975299483,-0.09277728610851453
2001_2025,2001-2005,2003,2004,2003-2004,0.777284731472997,0.5518620731123041,-0.061002743819596625,0.7162819876534005,1.2681440607657044
2001_2025,2001-2005,2004,2005,2004-2005,0.6548128735056781,0.6458089829579721,-0.06765292684317116,0.5871599466625068,1.2329689296204789
2001_2025,2005-2010,2005,2006,2005-2006,0.5467275745232472,0.19524626217025784,-0.05879096665951106,0.48793660786373605,0.6831828700339939
2001_2025,2005-2010,2006,2007,2006-2007,0.44772257907421664,-0.1358527637251543,-0.021293380876134936,0.4264291981980818,0.2905764344729273
2001_2025,2005-2010,2007,2008,2007-2008,0.2726654799543308,-0.26717640006072724,-0.004115362020060334,0.2685501179342704,0.001373717873543169
2001_2025,2005-2010,2008,2009,2008-2009,0.0816810996337938,0.3518030581454717,-0.005972416603562708,0.07570868303023094,0.4275117411757028
2001_2025,2005-2010,2009,2010,2009-2010,0.21491706269742145,0.05079407791593794,-0.01193478277563695,0.20298227992178447,0.25377635783772245
2001_2025,2010-2015,2010,2011,2010-2011,0.2567790466594214,-0.12150021051062727,-0.012185279871304197,0.24459376678811723,0.12309355627749004
2001_2025,2010-2015,2011,2012,2011-2012,0.28043386517413466,-0.18267120671875528,-0.015438830792641665,0.26499503438149297,0.08232382766273771
2001_2025,2010-2015,2012,2013,2012-2013,0.10120840982656026,0.06929291831273993,-0.01938330487787237,0.08182510494868797,0.15111802326142773
2001_2025,2010-2015,2013,2014,2013-2014,0.1729445889178319,-0.06841690249173527,0.001423571492762839,0.1743681604105949,0.1059512579188595
2001_2025,2010-2015,2014,2015,2014-2015,0.12767154268624245,0.01770928799839314,-0.02376884815002728,0.10390269453621512,0.12161198253460828
2001_2025,2015-2020,2015,2016,2015-2016,0.1854858987065493,-0.01030584086957276,-0.00829927988804079,0.17718661881850858,0.1668807779489357
2001_2025,2015-2020,2016,2017,2016-2017,0.20539570622458758,-0.6360759476416602,-0.003229336588466706,0.20216636963612092,-0.4339095780055395
2001_2025,2015-2020,2017,2018,2017-2018,0.2104358433889969,0.6763933805152692,-0.003304259123236539,0.20713158426576012,0.8835249647810293
2001_2025,2015-2020,2018,2019,2018-2019,0.16805434492660015,-0.057090737621936505,0.006745796544663331,0.17480014147126358,0.11770940384932707
2001_2025,2015-2020,2019,2020,2019-2020,0.12018487792544265,0.03899885091730162,0.01664137862243626,0.136826256547879,0.17582510746518046
2001_2025,2020-2025,2020,2021,2020-2021,0.34465351017104895,0.29093200422587834,0.013708706980862195,0.35836221715191113,0.6492942213777895
