slot,start_year,end_year,years_in_slot,revenue_start,revenue_end,revenue_total_growth,revenue_cagr,net_income_start,net_income_end,net_income_cagr,shares_start,shares_end,shares_cagr,net_margin_start,net_margin_end,net_margin_cagr,rev_per_share_start,rev_per_share_end,rev_per_share_cagr,eps_start,eps_end,eps_total_growth,eps_cagr
2001-2006,2001,2006,5,86.426,10604.917,121.70516974058731,1.6168122978344823,6.98500000000001,3077.446,2.3791292693783688,7471.04,12381.92,0.10632158650785906,0.08082058639761194,0.2901904842819609,0.2913151134969576,0.01156813509230308,0.8564840509387881,1.3653269806427057,0.0009349434616867277,0.24854352152170262,264.8380230536147,2.0543824784660516
2002-2007,2002,2007,5,439.508,16593.986,36.75582241961467,1.0672680231836607,99.6560000000001,4203.72,1.1136158930764108,8825.32,12648.4,0.0746351111110155,0.22674445061295836,0.2533279225377194,0.022419864948799884,0.04980080042423391,1.3119434869232474,0.9236929836085555,0.011292055132278501,0.33235191802915787,28.432367636881718,0.9668219205040132
2003-2008,2003,2008,5,1465.934,21795.55,13.868029529296681,0.7157368658115666,105.648,4226.858,1.0913719344675616,10265.52,12700.56,0.043490220894522036,0.07206872887865347,0.1939321558758554,0.21893512702387175,0.14280172850474207,1.7161093684058026,0.6442289840922204,0.010291539055011338,0.33280878953368986,31.338097125680413,1.0042084655807821
2004-2009,2004,2009,5,3189.223,23650.563,6.415775880206557,0.49290206656444724,399.119,6520.448,0.7483766856414711,10911.24,12776.64,0.03206846880563918,0.12514615628947867,0.2756994833484514,0.17112617418029097,0.2922878609580579,1.8510784525509054,0.446514559535093,0.036578702328974526,0.5103413730057356,12.951872005078942,0.6940510620044222
2005-2010,2005,2010,5,6138.56,29321.0,3.776527394046812,0.36716979390546234,1465.397,8505.0,0.4214899840849369,11674.96,12930.04,0.02063132487802699,0.23871999296251886,0.29006514102520375,0.03973185365974419,0.5257885251855253,2.2676650652279497,0.33953344423251863,0.12551623303206177,0.6577705869432732,4.2405220508430395,0.39275559101109847
2006-2011,2006,2011,5,10604.917,37905.0,2.574285399876303,0.2901429853707922,3077.446,9737.0,0.2590615047785796,12381.92,13088.56,0.011162080730085844,0.2901904842819609,0.25687903970452447,-0.02409150066671084,0.8564840509387881,2.8960405117140464,0.2759012723650345,0.24854352152170262,0.743932105594504,1.993166351871877,0.24516289601119512
2007-2012,2007,2012,5,16593.986,50175.0,2.0236858100278017,0.24769183306786147,4203.72,10737.0,0.20628474159438737,12648.4,13292.2,0.009978793817695841,0.2533279225377194,0.21399103139013453,-0.03318695400262506,1.3119434869232474,3.7747701659619923,0.2353643865646089,0.33235191802915787,0.8077669610749161,1.4304567455634456,0.1943664054912082
2008-2013,2008,2013,5,21795.55,55519.0,1.5472630881074347,0.20563198314539277,4226.858,12733.0,0.24675929927254137,12700.56,13552.36,0.013067567041245454,0.1939321558758554,0.22934490895008916,0.034112661825585366,1.7161093684058026,4.096629664501238,0.19008052608627968,0.33280878953368986,0.9395411574072707,1.8230659374221907,0.2306773406178757
2009-2014,2009,2014,5,23650.563,66001.0,1.790673524346968,0.22784008174789983,6520.448,14136.0,0.16737347250113266,12776.64,13533.0809724372,0.011570147670540099,0.2756994833484514,0.21417857305192345,-0.049246322990767144,1.8510784525509054,4.877012125651514,0.21379627955153646,0.5103413730057356,1.0445514978289692,1.0467701681267174,0.1540212759237498
2010-2015,2010,2015,5,29321.0,74989.0,1.557518502097473,0.20660121097853112,8505.0,16348.0,0.13961475145305835,12930.04,13858.6,0.013967180667746604,0.29006514102520375,0.21800530744509194,-0.055516651994031996,2.2676650652279497,5.411008326959433,0.1899805378157562,0.6577705869432732,1.1796285339067438,0.7933737952446271,0.1239168024181676
2011-2016,2011,2016,5,37905.0,90272.0,1.381532779316713,0.18951880650216935,9737.0,19478.0,0.14874554012545715,13088.56,13974.095,0.013179431537289288,0.25687903970452447,0.2157701169797944,-0.034277109494895375,2.8960405117140464,6.459953220584231,0.17404555350805118,0.743932105594504,1.3938648620894591,0.873645258226313,0.13380266551846054
2012-2017,2012,2017,5,50175.0,110855.0,1.2093672147483807,0.1718002357003321,10737.0,12662.0,0.033531865564050634,13292.2,14019.295,0.010708368129182189,0.21399103139013453,0.11422128005051645,-0.11799653722858727,3.7747701659619923,7.9073163094149885,0.1593851131057029,0.8077669610749161,0.9031837906257055,0.1181242043173143,0.022581684444855865
2013-2018,2013,2018,5,55519.0,136819.0,1.4643635512167008,0.19768043574648142,12733.0,30736.0,0.19273323729624403,13552.36,14065.695,0.007463343396663991,0.22934490895008916,0.22464716157843576,-0.0041306497982108725,4.096629664501238,9.727141104652134,0.18880795375492276,0.9395411574072707,2.185174639433032,1.3257891601717304,0.18389740442063363
2014-2019,2014,2019,5,66001.0,161857.0,1.4523416311874064,0.19650961848715465,14136.0,34343.0,0.19426949315514364,13533.0809724372,13971.13,0.006391524614923094,0.21417857305192345,0.2121811228430034,-0.00187221673557747,4.877012125651514,11.58510442605573,0.1889106666960223,1.0445514978289692,2.4581404653739534,1.3532975353374486,0.18668476824872737
2015-2020,2015,2020,5,74989.0,182527.0,1.4340503273813492,0.19471938582946868,16348.0,40269.0,0.19757092402739707,13858.6,13740.555,-0.001709397226918874,0.21800530744509194,0.22061941520980458,0.002386784906774242,5.411008326959433,13.283815682845416,0.19676513282879937,1.1796285339067438,2.9306676477041864,1.484398743728483,0.19962155378478874
2016-2021,2016,2021,5,90272.0,257637.0,1.8540078872740162,0.23336333520406605,19478.0,76033.0,0.3130811082031071,13974.095,13553.475,-0.006093814224522931,0.2157701169797944,0.2951167728237792,0.06463445987378202,6.459953220584231,19.008925755203002,0.24092530346992147,1.3938648620894591,5.6098528237223295,3.0246748277397106,0.3211318402034089
2017-2022,2017,2022,5,110855.0,282836.0,1.551404988498489,0.2060238046960421,12662.0,59972.0,0.36486357815966763,14019.295,13158.505,-0.012593287953529986,0.11422128005051645,0.2120380715326196,0.13170533852245025,7.9073163094149885,21.49453908327732,0.22140531351713477,0.9031837906257055,4.5576606157006445,4.046216133421969,0.3822709138070286
2018-2023,2018,2023,5,136819.0,307394.0,1.2467201192816786,0.17573594251677904,30736.0,73795.0,0.19145026421168487,14065.695,12721.25,-0.019892486936169407,0.22464716157843576,0.24006649446638517,0.013365519524110026,9.727141104652134,24.163820379286626,0.1995989489371539,2.185174639433032,5.800923651370738,1.6546727875607474,0.21563221211027517
2019-2024,2019,2024,5,161857.0,350018.0,1.162513823931001,0.16678752868181101,34343.0,100118.0,0.23861058497103316,13971.13,12447.25,-0.022833936519732423,0.2121811228430034,0.28603671811164,0.0615562426951588,11.58510442605573,28.120106850910844,0.19405244644517117,2.4581404653739534,8.043383076583181,2.2721413563970407,0.26755382862929844
2020-2025,2020,2025,5,182527.0,402836.0,1.206994033759389,0.1715483907713573,40269.0,132170.0,0.2683304205757977,13740.555,12230.0,-0.02302278231836441,0.22061941520980458,0.3280987796522654,0.0826103561464655,13.283815682845416,32.938348323793946,0.1991563053552452,2.9306676477041864,10.807031888798038,2.6875665165458127,0.29821903481592194
