,,Year,Year,Year,Year,Year
,,1,2,3,4,5
,delta Rev/Share,0.1938538679,0.2240516362,0.2301444288,0.1910081597,0.1466289119
,delta FCFMargin,0.2998366525,-0.2513796123,-0.2266268517,0.1447193446,0.2266339877
,delta FCF (additive),0.4936905204,-0.0273279761,0.0035175770,0.3357275043,0.3732628996

,Six-factor comparison (EPS block)
,delta Rev/Share,0.1938538679,0.2240516362,0.2301444288,0.1910081597,0.1466289119
,delta NetMargin,-0.0102529177,-0.4706343879,0.9667715287,-0.0554916370,0.0397692889
,delta EPS (additive),0.1836009503,-0.2465827517,1.1969159575,0.1355165227,0.1863982008


,2015,2016,2017,2018,2019,2020
Rev ($m),74989.000,90272.000,110855.000,136819.000,161857.000,182527.000
FCF ($m),16657.000,26064.000,23961.000,22871.000,30972.000,42843.000
Net Income ($m),16348.000,19478.000,12662.000,30736.000,34343.000,40269.000
#Shares(m),13858.600,13974.095,14019.295,14065.695,13971.130,13740.555

Rev/S,5.4110083270,6.4599532206,7.9073163094,9.7271411047,11.5851044261,13.2838156828
FCFMargin,0.2221259118,0.2887274016,0.2161472193,0.1671624555,0.1913540965,0.2347214385
FCF/S,1.2019251584,1.8651655080,1.7091444327,1.6260127921,2.2168571905,3.1179963255
NetMargin,0.2180053074,0.2157701170,0.1142212801,0.2246471616,0.2121811228,0.2206194152
