window_label,from_year,to_year,period,delta_rev_per_share_growth,delta_fcf_margin_growth,delta_fcf_per_share_growth,rev_per_share_log_contribution,fcf_margin_log_contribution,fcf_per_share_log_change,two_factor_tie_out_gap,dominant_two_factor
2015_2025,2015,2016,2015-2016,0.19385386793781278,0.2998366525112037,0.5518150152878389,0.17718661881850858,0.2622386046581692,0.4394252234766776,-1.6653345369377348e-16,fcf_margin
2015_2025,2016,2017,2016-2017,0.22405163619743051,-0.25137961232685535,-0.08364998957793268,0.20216636963612092,-0.28952324948091523,-0.08735687984479448,-1.6653345369377348e-16,fcf_margin
2015_2025,2017,2018,2017-2018,0.2301444287830421,-0.22662685174998654,-0.04863933030984413,0.20713158426576012,-0.25699361950913635,-0.0498620352433761,1.3183898417423734e-16,fcf_margin
2015_2025,2018,2019,2018-2019,0.1910081596857891,0.14471934464605574,0.36337008002362126,0.17480014147126358,0.13515949311465486,0.3099596345859183,-1.6653345369377348e-16,rev_per_share
2015_2025,2019,2020,2019-2020,0.1466289119474109,0.2266339876915071,0.40649399466442615,0.136826256547879,0.2042738226889862,0.34110007923686486,-3.3306690738754696e-16,fcf_margin
2015_2025,2020,2021,2020-2021,0.43098385351363566,0.10813223461159605,0.5857193352871781,0.35836221715191113,0.1026759265213312,0.4610381436732425,1.1102230246251565e-16,rev_per_share
2015_2025,2021,2022,2021-2022,0.13076032596918163,-0.18427345755708768,-0.0776087889655388,0.12289026129890523,-0.20367609973839107,-0.08078583843948564,1.942890293094024e-16,fcf_margin
2015_2025,2022,2023,2022-2023,0.12418416071484861,0.06553871241958453,0.1978617431305909,0.11705758210288494,0.06348050452869762,0.18053808663158244,-1.1102230246251565e-16,rev_per_share
2015_2025,2023,2024,2023-2024,0.1637276891453625,-0.08046553149196767,0.0700877221263616,0.1516283779068784,-0.08388774949784526,0.06774062840903314,1.3877787807814457e-17,rev_per_share
2015_2025,2024,2025,2024-2025,0.17134506274918482,-0.12512094306067356,0.02478526384854307,0.15815271477675388,-0.1336696228186455,0.02448309195810848,9.71445146547012e-17,rev_per_share
2010_2025,2010,2011,2010-2011,0.2771024064009784,0.2186280174679791,0.5563127736160098,0.24459376678811723,0.19772565008935686,0.4423194168774742,1.1102230246251565e-16,rev_per_share
2010_2025,2011,2012,2011-2012,0.3034245034534624,-0.0938874360337364,0.18104931876067099,0.26499503438149297,-0.0985917378682833,0.1664032965132098,1.1102230246251565e-16,rev_per_share
2010_2025,2012,2013,2012-2013,0.08526598558013676,-0.20216397189290602,-0.134135696625013,0.08182510494868797,-0.2258521812084793,-0.1440270762597914,-5.551115123125783e-17,fcf_margin
2010_2025,2013,2014,2013-2014,0.19049377782731236,-0.13861079032688317,0.02547849440343164,0.1743681604105949,-0.14920883294033238,0.025159327470262435,-9.71445146547012e-17,rev_per_share
2010_2025,2014,2015,2014-2015,0.10949248998157524,0.21512907623191269,0.3481765844375564,0.10390269453621512,0.19485030673173312,0.2987530012679484,1.6653345369377348e-16,fcf_margin
2010_2025,2015,2016,2015-2016,0.19385386793781278,0.2998366525112037,0.5518150152878389,0.17718661881850858,0.2622386046581692,0.4394252234766776,-1.6653345369377348e-16,fcf_margin
2010_2025,2016,2017,2016-2017,0.22405163619743051,-0.25137961232685535,-0.08364998957793268,0.20216636963612092,-0.28952324948091523,-0.08735687984479448,-1.6653345369377348e-16,fcf_margin
2010_2025,2017,2018,2017-2018,0.2301444287830421,-0.22662685174998654,-0.04863933030984413,0.20713158426576012,-0.25699361950913635,-0.0498620352433761,1.3183898417423734e-16,fcf_margin
2010_2025,2018,2019,2018-2019,0.1910081596857891,0.14471934464605574,0.36337008002362126,0.17480014147126358,0.13515949311465486,0.3099596345859183,-1.6653345369377348e-16,rev_per_share
2010_2025,2019,2020,2019-2020,0.1466289119474109,0.2266339876915071,0.40649399466442615,0.136826256547879,0.2042738226889862,0.34110007923686486,-3.3306690738754696e-16,fcf_margin
2010_2025,2020,2021,2020-2021,0.43098385351363566,0.10813223461159605,0.5857193352871781,0.35836221715191113,0.1026759265213312,0.4610381436732425,1.1102230246251565e-16,rev_per_share
2010_2025,2021,2022,2021-2022,0.13076032596918163,-0.18427345755708768,-0.0776087889655388,0.12289026129890523,-0.20367609973839107,-0.08078583843948564,1.942890293094024e-16,fcf_margin
2010_2025,2022,2023,2022-2023,0.12418416071484861,0.06553871241958453,0.1978617431305909,0.11705758210288494,0.06348050452869762,0.18053808663158244,-1.1102230246251565e-16,rev_per_share
2010_2025,2023,2024,2023-2024,0.1637276891453625,-0.08046553149196767,0.0700877221263616,0.1516283779068784,-0.08388774949784526,0.06774062840903314,1.3877787807814457e-17,rev_per_share
2010_2025,2024,2025,2024-2025,0.17134506274918482,-0.12512094306067356,0.02478526384854307,0.15815271477675388,-0.1336696228186455,0.02448309195810848,9.71445146547012e-17,rev_per_share
2001_2025,2001,2002,2001-2002,3.304998171863426,0.2877587759445617,4.5437991762424215,1.4597767132253474,0.2529033243846665,1.712680037610014,0.0,rev_per_share
2001_2025,2002,2003,2002-2003,1.8674585004310962,-0.44478472917566414,0.5920567478943952,1.0534260975299483,-0.58839936508074,0.4650267324492083,-5.551115123125783e-17,rev_per_share
2001_2025,2003,2004,2003-2004,1.0468089848670972,0.38340773546042395,1.83157138267504,0.7162819876534005,0.3245498287983397,1.04083181645174,-2.220446049250313e-16,rev_per_share
2001_2025,2004,2005,2004-2005,0.7988722605930383,0.2799649679156757,1.3024934753143675,0.5871599466625068,0.24683270874111457,0.8339926554036214,0.0,rev_per_share
2001_2025,2005,2006,2005-2006,0.6289515839787039,-0.40098432111437843,-0.02423246105118837,0.48793660786373605,-0.512467506108045,-0.024530898244309315,-3.2959746043559335e-16,fcf_margin
2001_2025,2006,2007,2006-2007,0.5317780704558741,0.2846967748323963,0.9678703468736525,0.4264291981980818,0.2505227176081225,0.6769519158062043,0.0,rev_per_share
2001_2025,2007,2008,2007-2008,0.30806653298031894,0.24034320401480858,0.6224514345813512,0.2685501179342704,0.2153881187524356,0.4839382366867061,1.1102230246251565e-16,rev_per_share
2001_2025,2008,2009,2008-2009,0.07864829982863131,0.42691679701372465,0.5391413770957705,0.07570868303023094,0.3555160305675825,0.43122471359781356,1.1102230246251565e-16,fcf_margin
2001_2025,2009,2010,2009-2010,0.22505076005987812,-0.3303318355173399,-0.17962250611261377,0.20298227992178447,-0.40097296617878914,-0.19799068625700464,2.7755575615628914e-17,fcf_margin
2001_2025,2010,2011,2010-2011,0.2771024064009784,0.2186280174679791,0.5563127736160098,0.24459376678811723,0.19772565008935686,0.4423194168774742,1.1102230246251565e-16,rev_per_share
2001_2025,2011,2012,2011-2012,0.3034245034534624,-0.0938874360337364,0.18104931876067099,0.26499503438149297,-0.0985917378682833,0.1664032965132098,1.1102230246251565e-16,rev_per_share
2001_2025,2012,2013,2012-2013,0.08526598558013676,-0.20216397189290602,-0.134135696625013,0.08182510494868797,-0.2258521812084793,-0.1440270762597914,-5.551115123125783e-17,fcf_margin
2001_2025,2013,2014,2013-2014,0.19049377782731236,-0.13861079032688317,0.02547849440343164,0.1743681604105949,-0.14920883294033238,0.025159327470262435,-9.71445146547012e-17,rev_per_share
2001_2025,2014,2015,2014-2015,0.10949248998157524,0.21512907623191269,0.3481765844375564,0.10390269453621512,0.19485030673173312,0.2987530012679484,1.6653345369377348e-16,fcf_margin
2001_2025,2015,2016,2015-2016,0.19385386793781278,0.2998366525112037,0.5518150152878389,0.17718661881850858,0.2622386046581692,0.4394252234766776,-1.6653345369377348e-16,fcf_margin
2001_2025,2016,2017,2016-2017,0.22405163619743051,-0.25137961232685535,-0.08364998957793268,0.20216636963612092,-0.28952324948091523,-0.08735687984479448,-1.6653345369377348e-16,fcf_margin
2001_2025,2017,2018,2017-2018,0.2301444287830421,-0.22662685174998654,-0.04863933030984413,0.20713158426576012,-0.25699361950913635,-0.0498620352433761,1.3183898417423734e-16,fcf_margin
2001_2025,2018,2019,2018-2019,0.1910081596857891,0.14471934464605574,0.36337008002362126,0.17480014147126358,0.13515949311465486,0.3099596345859183,-1.6653345369377348e-16,rev_per_share
2001_2025,2019,2020,2019-2020,0.1466289119474109,0.2266339876915071,0.40649399466442615,0.136826256547879,0.2042738226889862,0.34110007923686486,-3.3306690738754696e-16,fcf_margin
2001_2025,2020,2021,2020-2021,0.43098385351363566,0.10813223461159605,0.5857193352871781,0.35836221715191113,0.1026759265213312,0.4610381436732425,1.1102230246251565e-16,rev_per_share
2001_2025,2021,2022,2021-2022,0.13076032596918163,-0.18427345755708768,-0.0776087889655388,0.12289026129890523,-0.20367609973839107,-0.08078583843948564,1.942890293094024e-16,fcf_margin
2001_2025,2022,2023,2022-2023,0.12418416071484861,0.06553871241958453,0.1978617431305909,0.11705758210288494,0.06348050452869762,0.18053808663158244,-1.1102230246251565e-16,rev_per_share
2001_2025,2023,2024,2023-2024,0.1637276891453625,-0.08046553149196767,0.0700877221263616,0.1516283779068784,-0.08388774949784526,0.06774062840903314,1.3877787807814457e-17,rev_per_share
2001_2025,2024,2025,2024-2025,0.17134506274918482,-0.12512094306067356,0.02478526384854307,0.15815271477675388,-0.1336696228186455,0.02448309195810848,9.71445146547012e-17,rev_per_share
