period,rev_per_share_contribution,fcf_margin_contribution,fcf_per_share_change,bigger_driver
2001-2002,1.4598,0.2529,1.7127,Rev/S
2002-2003,1.0534,-0.5884,0.4650,Rev/S
2003-2004,0.7163,0.3245,1.0408,Rev/S
2004-2005,0.5872,0.2468,0.8340,Rev/S
2005-2006,0.4879,-0.5125,-0.0245,FCF Margin
2006-2007,0.4264,0.2505,0.6770,Rev/S
2007-2008,0.2686,0.2154,0.4839,Rev/S
2008-2009,0.0757,0.3555,0.4312,FCF Margin
2009-2010,0.2030,-0.4010,-0.1980,FCF Margin
2010-2011,0.2446,0.1977,0.4423,Rev/S
2011-2012,0.2650,-0.0986,0.1664,Rev/S
2012-2013,0.0818,-0.2259,-0.1440,FCF Margin
2013-2014,-2.8214,-0.1492,-2.9706,Rev/S (data break)
2014-2015,0.1039,0.1949,0.2988,FCF Margin
2015-2016,0.1772,0.2622,0.4394,FCF Margin
2016-2017,0.2022,-0.2895,-0.0874,FCF Margin
2017-2018,0.2071,-0.2570,-0.0499,FCF Margin
2018-2019,0.1748,0.1352,0.3100,Rev/S
2019-2020,0.1368,0.2043,0.3411,FCF Margin
2020-2021,0.3584,0.1027,0.4610,Rev/S
2021-2022,0.1229,-0.2037,-0.0808,FCF Margin
2022-2023,0.1171,0.0635,0.1805,Rev/S
2023-2024,0.1516,-0.0839,0.0677,Rev/S
2024-2025,0.1582,-0.1337,0.0245,Rev/S
