period,revenue,fcf_margin,share_count,rank_1,rank_2,rank_3,largest_driver,direction
2001-2002,1.6264,0.2529,-0.1666,revenue,fcf_margin,share_count,revenue,positive
2002-2003,1.2046,-0.5884,-0.1512,revenue,fcf_margin,share_count,revenue,positive
2003-2004,0.7773,0.3245,-0.0610,revenue,fcf_margin,share_count,revenue,positive
2004-2005,0.6548,0.2468,-0.0677,revenue,fcf_margin,share_count,revenue,positive
2005-2006,0.5467,-0.5125,-0.0588,revenue,fcf_margin,share_count,revenue,positive
2006-2007,0.4477,0.2505,-0.0213,revenue,fcf_margin,share_count,revenue,positive
2007-2008,0.2727,0.2154,-0.0041,revenue,fcf_margin,share_count,revenue,positive
2008-2009,0.0817,0.3555,-0.0060,fcf_margin,revenue,share_count,fcf_margin,positive
2009-2010,0.2149,-0.4010,-0.0119,fcf_margin,revenue,share_count,fcf_margin,negative
2010-2011,0.2568,0.1977,-0.0122,revenue,fcf_margin,share_count,revenue,positive
2011-2012,0.2804,-0.0986,-0.0154,revenue,fcf_margin,share_count,revenue,positive
2012-2013,0.1012,-0.2259,-0.0194,fcf_margin,revenue,share_count,fcf_margin,negative
2013-2014,0.1729,-0.1492,-2.9943,share_count,revenue,fcf_margin,share_count,negative (data break)
2014-2015,0.1277,0.1949,-0.0238,fcf_margin,revenue,share_count,fcf_margin,positive
2015-2016,0.1855,0.2622,-0.0083,fcf_margin,revenue,share_count,fcf_margin,positive
2016-2017,0.2054,-0.2895,-0.0032,fcf_margin,revenue,share_count,fcf_margin,negative
2017-2018,0.2104,-0.2570,-0.0033,fcf_margin,revenue,share_count,fcf_margin,negative
2018-2019,0.1681,0.1352,0.0067,revenue,fcf_margin,share_count,revenue,positive
2019-2020,0.1202,0.2043,0.0166,fcf_margin,revenue,share_count,fcf_margin,positive
2020-2021,0.3447,0.1027,0.0137,revenue,fcf_margin,share_count,revenue,positive
2021-2022,0.0933,-0.2037,0.0296,fcf_margin,revenue,share_count,fcf_margin,negative
2022-2023,0.0833,0.0635,0.0338,revenue,fcf_margin,share_count,revenue,positive
2023-2024,0.1299,-0.0839,0.0218,revenue,fcf_margin,share_count,revenue,positive
2024-2025,0.1405,-0.1337,0.0176,revenue,fcf_margin,share_count,revenue,positive
