window_label,from_year,to_year,period,Revenue_pct_change,Net Margin_pct_change,EPS_pct_change,FCF_pct_change,NetCash_pct_change,Shares_pct_change,Revenue_weight,Net Margin_weight,EPS_weight,FCF_weight,NetCash_weight,Shares_weight
2015_2025,2015,2016,2015-2016,0.20380322447292265,-0.01025291765367009,0.18161338253933068,0.5647475535810771,0.20878007366936413,0.008333814382404992,0.1730767430376116,0.008707132081542782,0.1542323622368762,0.4796031439888148,0.177303255408734,0.007077363246420554
2015_2025,2016,2017,2016-2017,0.22801090038993266,-0.47063438788786216,-0.35202915634748344,-0.0806860036832413,0.19755086320177617,0.0032345565133198306,0.1711606107581986,0.3532904310142101,0.2642572144668791,0.06056844495786924,0.1482952189724272,0.002428079830415756
2015_2025,2017,2018,2017-2018,0.23421586757475987,0.9667715287298606,1.4194130387561446,-0.04549058887358626,0.12554509766825905,0.0033097242051043363,0.08380578431705968,0.3459246679550756,0.5078862684008811,0.01627718275056204,0.044921829960525454,0.0011842666158960822
2015_2025,2018,2019,2018-2019,0.18300089899794614,-0.055491636964573154,0.12491716726666091,0.3542040138166236,0.07742022237723445,-0.006723094735098467,0.22824982033378888,0.0692125352200254,0.15580426730876992,0.4417847286971993,0.09656319692726795,0.008385451512948523
2015_2025,2019,2020,2019-2020,0.1277053201282614,0.03976928886857123,0.19222952837170282,0.38328167376985656,0.11908049204751991,-0.016503675794298567,0.14535588875514938,0.0452659319349074,0.21879819817521073,0.43625628343771333,0.13553899506757694,0.01878470262944223
2015_2025,2020,2021,2020-2021,0.41150076427049154,0.3376736247040142,0.9141893582225031,0.5641294960670356,0.07608824451956919,-0.013615170566254386,0.17758560232152726,0.14572506113679612,0.3945238549038473,0.24345343932472518,0.03283633447570802,0.005875707837396106
2015_2025,2021,2022,2021-2022,0.09780815643715779,-0.2815112827923465,-0.18756146392509443,-0.10448874828388943,-0.1608228991909626,-0.029141603906009395,0.11355425292511274,0.3268316730620915,0.217756909948905,0.1213103506156016,0.18671371423521288,0.03383309921307628
2015_2025,2022,2023,2022-2023,0.0868277022726951,0.1321858038567083,0.27278534768192,0.15805699050158317,-0.006808024515063349,-0.03322983880007635,0.1258566374974215,0.19160314465134362,0.39540199405470045,0.22910339484760026,0.009868222364964475,0.04816660658396974
2015_2025,2023,2024,2023-2024,0.1386624332290156,0.19148954437576338,0.386569374117268,0.04703935534930581,-0.0459699543797748,-0.02153876387933573,0.16680805164209145,0.2303579784612414,0.465034996281249,0.05658737578445852,0.05530090844072592,0.02591068939023374
2015_2025,2024,2025,2024-2025,0.1509008108154437,0.1470512660693044,0.34359283723048173,0.006899015996921554,0.21365147121118322,-0.01745365442165936,0.17156611087215368,0.16718938541153833,0.3906465875737339,0.007843810361524364,0.24291023884985763,0.019843866931192142
2010_2025,2010,2011,2010-2011,0.2927594556802291,-0.11440913307744116,0.1309902272335286,0.5753928925385814,0.28654824712015725,0.012259822862110248,0.20728390891211707,0.08100565791952367,0.09274565109148726,0.40739824320455414,0.20288615654436307,0.00868038232795488
2010_2025,2011,2012,2011-2012,0.3237039968341908,-0.16695799067032457,0.08580736736640682,0.19942482250381954,0.0681354945161603,0.015558625242196422,0.37658027443348097,0.19423018115435423,0.099823796639149,0.23200039271002387,0.07926526541066928,0.018100089652322626
2010_2025,2012,2013,2012-2013,0.10650722471350282,0.07175009840464974,0.16313392684073058,-0.1171886707627754,0.25960926851431165,0.019572380794751876,0.14436537363835258,0.09725377590711577,0.22112011992429656,0.1588435553208544,0.3518877630119727,0.026529412197407946
2010_2025,2013,2014,2013-2014,0.18880023055170292,-0.066128940762606,0.11176768531511883,0.02401969105415036,0.12243904198528344,-0.001422558695518772,0.36690293039418126,0.12851097733706937,0.21720254867094452,0.04667841246368212,0.23794061674492745,0.002764514389195239
2010_2025,2014,2015,2014-2015,0.13617975485219924,0.017867027213038567,0.129315822492738,0.38060505594695404,0.1734016742452238,0.02405357865114266,0.15808698925188622,0.020741295518238858,0.1501188562330427,0.44183298357382805,0.20129679806235215,0.02792307736065204
2010_2025,2015,2016,2015-2016,0.20380322447292265,-0.01025291765367009,0.18161338253933068,0.5647475535810771,0.20878007366936413,0.008333814382404992,0.1730767430376116,0.008707132081542782,0.1542323622368762,0.4796031439888148,0.177303255408734,0.007077363246420554
2010_2025,2016,2017,2016-2017,0.22801090038993266,-0.47063438788786216,-0.35202915634748344,-0.0806860036832413,0.19755086320177617,0.0032345565133198306,0.1711606107581986,0.3532904310142101,0.2642572144668791,0.06056844495786924,0.1482952189724272,0.002428079830415756
2010_2025,2017,2018,2017-2018,0.23421586757475987,0.9667715287298606,1.4194130387561446,-0.04549058887358626,0.12554509766825905,0.0033097242051043363,0.08380578431705968,0.3459246679550756,0.5078862684008811,0.01627718275056204,0.044921829960525454,0.0011842666158960822
2010_2025,2018,2019,2018-2019,0.18300089899794614,-0.055491636964573154,0.12491716726666091,0.3542040138166236,0.07742022237723445,-0.006723094735098467,0.22824982033378888,0.0692125352200254,0.15580426730876992,0.4417847286971993,0.09656319692726795,0.008385451512948523
2010_2025,2019,2020,2019-2020,0.1277053201282614,0.03976928886857123,0.19222952837170282,0.38328167376985656,0.11908049204751991,-0.016503675794298567,0.14535588875514938,0.0452659319349074,0.21879819817521073,0.43625628343771333,0.13553899506757694,0.01878470262944223
2010_2025,2020,2021,2020-2021,0.41150076427049154,0.3376736247040142,0.9141893582225031,0.5641294960670356,0.07608824451956919,-0.013615170566254386,0.17758560232152726,0.14572506113679612,0.3945238549038473,0.24345343932472518,0.03283633447570802,0.005875707837396106
2010_2025,2021,2022,2021-2022,0.09780815643715779,-0.2815112827923465,-0.18756146392509443,-0.10448874828388943,-0.1608228991909626,-0.029141603906009395,0.11355425292511274,0.3268316730620915,0.217756909948905,0.1213103506156016,0.18671371423521288,0.03383309921307628
2010_2025,2022,2023,2022-2023,0.0868277022726951,0.1321858038567083,0.27278534768192,0.15805699050158317,-0.006808024515063349,-0.03322983880007635,0.1258566374974215,0.19160314465134362,0.39540199405470045,0.22910339484760026,0.009868222364964475,0.04816660658396974
2010_2025,2023,2024,2023-2024,0.1386624332290156,0.19148954437576338,0.386569374117268,0.04703935534930581,-0.0459699543797748,-0.02153876387933573,0.16680805164209145,0.2303579784612414,0.465034996281249,0.05658737578445852,0.05530090844072592,0.02591068939023374
2010_2025,2024,2025,2024-2025,0.1509008108154437,0.1470512660693044,0.34359283723048173,0.006899015996921554,0.21365147121118322,-0.01745365442165936,0.17156611087215368,0.16718938541153833,0.3906465875737339,0.007843810361524364,0.24291023884985763,0.019843866931192142
2001_2025,2001,2002,2001-2002,4.085367829125494,1.8055284021010038,11.077794642155741,5.548727050862499,7.170504044803982,0.18127061292671431,0.13677530177333316,0.06044784763249845,0.370876936554376,0.18576756086171806,0.24006353787852383,0.00606881529955055
